word,meaning,sentence,sentence_translation
log,"기록; 통나무","The pilot keeps a detailed log of every flight.","조종사는 모든 비행에 대한 상세한 기록을 보관합니다."
logo,로고,"The company's logo is easily recognizable.","그 회사의 로고는 쉽게 알아볼 수 있습니다."
loneliness,외로움,"He felt a deep sense of loneliness after moving to a new city.","그는 새로운 도시로 이사한 후 깊은 외로움을 느꼈습니다."
loosen,느슨하게 하다,"You should loosen your belt if it's too tight.","벨트가 너무 꽉 조이면 느슨하게 풀어야 합니다."
loss,"손실; 상실","The company suffered a great financial loss last year.","그 회사는 작년에 큰 재정적 손실을 입었습니다."
lower,"낮추다; 아래의","Could you please lower the volume of the music?","음악 소리 좀 낮춰주시겠어요?"
making,"만들기; 제작","The making of this film took over two years.","이 영화를 제작하는 데 2년 이상이 걸렸습니다."
march,행진하다,"The soldiers marched in the parade.","군인들이 퍼레이드에서 행진했습니다."
marketing,마케팅,"Good marketing is crucial for the success of a product.","좋은 마케팅은 제품의 성공에 매우 중요합니다."
marry,결혼하다,"They plan to marry next year.","그들은 내년에 결혼할 계획입니다."
mask,마스크,"He wore a mask to hide his identity.","그는 자신의 신분을 숨기기 위해 마스크를 썼습니다."
meaning,의미,"The teacher explained the meaning of the difficult word.","선생님은 그 어려운 단어의 의미를 설명해주셨습니다."
meanwhile,그동안에,"You can start on the salad; meanwhile, I'll prepare the main course.","샐러드를 먼저 시작하세요. 그동안 저는 메인 코스를 준비할게요."
measure,측정하다,"We need to measure the room before buying furniture.","가구를 사기 전에 방의 크기를 재야 합니다."
membership,회원 자격,"How much is the annual membership for the gym?","그 헬스장의 연간 회원권은 얼마인가요?"
memo,메모,"The manager sent a memo to all staff about the new policy.","관리자는 새 정책에 대해 모든 직원에게 메모를 보냈습니다."
mental,정신적인,"Taking breaks is important for your mental health.","휴식을 취하는 것은 정신 건강에 중요합니다."
mention,언급하다,"She forgot to mention that the meeting was canceled.","그녀는 회의가 취소되었다는 것을 언급하는 것을 잊었습니다."
mercy,자비,"The villagers begged the king for mercy.","마을 사람들은 왕에게 자비를 구걸했습니다."
middle,중간,"The library is in the middle of the town.","도서관은 마을의 중앙에 있습니다."
mighty,강력한,"The mighty river flows to the sea.","강력한 강이 바다로 흘러갑니다."
mile,마일,"The nearest gas station is about a mile away.","가장 가까운 주유소는 약 1마일 떨어져 있습니다."
mind,"마음; 정신","A healthy mind is as important as a healthy body.","건강한 정신은 건강한 신체만큼 중요합니다."
misleading,오해의 소지가 있는,"The advertisement was misleading and didn't tell the whole truth.","그 광고는 오해의 소지가 있었고 모든 진실을 말하지 않았습니다."
moving,"움직이는; 감동적인","It was a very moving story that brought tears to my eyes.","그것은 제 눈물을 짓게 한 매우 감동적인 이야기였습니다."
mud,진흙,"The car got stuck in the deep mud.","차가 깊은 진흙에 빠졌습니다."
muscle,근육,"He strained a muscle in his leg while running.","그는 달리다가 다리 근육을 다쳤습니다."
mystery,"미스터리; 신비","The reason for his sudden disappearance is still a mystery.","그의 갑작스러운 실종 이유는 여전히 미스터리입니다."
nail,"못; 손톱","She painted her nails a bright red color.","그녀는 손톱을 밝은 빨간색으로 칠했습니다."
nap,낮잠,"I usually take a short nap after lunch.","저는 보통 점심 식사 후에 짧은 낮잠을 잡니다."
narrowly,간신히; 아슬아슬하게,"He narrowly avoided an accident on his way to work.","그는 출근길에 간신히 사고를 피했습니다."
nation,국가,"The whole nation celebrated the historic victory.","온 국가가 역사적인 승리를 축하했습니다."
natural,"자연의; 자연스러운","This park is famous for its beautiful natural scenery.","이 공원은 아름다운 자연 경관으로 유명합니다."
nearby,근처의,"Is there a supermarket nearby?","이 근처에 슈퍼마켓이 있나요?"
newly,최근에,"They are a newly married couple.","그들은 최근에 결혼한 부부입니다."
nicely,잘; 멋지게,"The children are playing together very nicely.","아이들이 아주 멋지게 함께 놀고 있습니다."
northern,북쪽의,"We visited the northern coast of the country.","우리는 그 나라의 북쪽 해안을 방문했습니다."
novel,소설,"She is writing her first novel.","그녀는 첫 소설을 쓰고 있습니다."
nutrition,영양,"Good nutrition is important for a child's growth.","좋은 영양은 아이의 성장에 중요합니다."
obese,비만의,"The doctor warned that being obese increases health risks.","의사는 비만이 건강 위험을 증가시킨다고 경고했습니다."
objection,반대,"Does anyone have an objection to this plan?","이 계획에 반대하는 분 계신가요?"
odd,이상한,"It's odd that he didn't call us.","그가 우리에게 전화하지 않은 것이 이상합니다."
opening,"시작; 틈","There is a job opening in the sales department.","영업 부서에 일자리가 있습니다."
opera,오페라,"We went to the opera last night.","우리는 어젯밤에 오페라를 보러 갔습니다."
opportunity,기회,"This is a great opportunity to learn a new skill.","이것은 새로운 기술을 배울 수 있는 좋은 기회입니다."
ordinary,평범한,"It was just an ordinary day, nothing special happened.","그저 평범한 날이었고, 특별한 일은 없었습니다."
organization,조직,"She works for a non-profit organization that helps children.","그녀는 아이들을 돕는 비영리 단체에서 일합니다."
organize,조직하다,"Can you help me organize the books on the shelf?","선반 위의 책들을 정리하는 것을 도와주시겠어요?"
organized,정리된; 조직적인,"He is a very organized person.","그는 매우 체계적인 사람입니다."
otherwise,그렇지 않으면,"You should study hard; otherwise, you might fail the exam.","열심히 공부해야 합니다. 그렇지 않으면 시험에 떨어질 수도 있습니다."
outbreak,"발생; 발발","The government is prepared for a potential outbreak of the flu.","정부는 독감의 잠재적인 발생에 대비하고 있습니다."
outdoor,야외의,"We had an outdoor picnic in the park.","우리는 공원에서 야외 소풍을 즐겼습니다."
outpost,전초기지,"The soldiers were stationed at a remote outpost.","군인들은 외딴 전초기지에 주둔했습니다."
overall,전반적인,"The overall result of the project was successful.","프로젝트의 전반적인 결과는 성공적이었습니다."
overhear,우연히 듣다,"I couldn't help but overhear their conversation.","나는 그들의 대화를 엿듣지 않을 수 없었다."
overload,과부하,"Don't overload the washing machine with too many clothes.","세탁기에 너무 많은 옷을 넣어 과부하를 주지 마세요."
overview,개요,"The report provides a brief overview of the company's performance.","그 보고서는 회사의 실적에 대한 간략한 개요를 제공합니다."
owl,부엉이,"We heard an owl hooting in the forest last night.","우리는 어젯밤 숲에서 부엉이가 우는 소리를 들었습니다."
pace,"속도; 보폭","He walked at a steady pace.","그는 일정한 속도로 걸었습니다."
pancake,팬케이크,"I love to eat pancakes with maple syrup for breakfast.","저는 아침 식사로 메이플 시럽을 곁들인 팬케이크를 먹는 것을 좋아합니다."
parrot,앵무새,"The parrot can mimic human speech.","그 앵무새는 사람의 말을 흉내 낼 수 있습니다."
passing,"지나가는; 일시적인","It was just a passing comment, I didn't mean anything by it.","그것은 그냥 지나가는 말이었어요, 별 뜻 없었어요."
pat,가볍게 두드리다,"She gave the dog a gentle pat on the head.","그녀는 개의 머리를 부드럽게 쓰다듬었습니다."
patience,인내,"You need a lot of patience to be a good teacher.","좋은 선생님이 되려면 많은 인내심이 필요합니다."
patient,"환자; 참을성 있는","The patient is recovering well after the surgery.","그 환자는 수술 후 잘 회복하고 있습니다."
paused,잠시 멈춘,"The movie paused for a commercial break.","영화는 광고 시간 동안 잠시 멈췄습니다."
payment,지불,"Payment can be made by cash or credit card.","지불은 현금 또는 신용카드로 할 수 있습니다."
penguin,펭귄,"Penguins are birds that cannot fly.","펭귄은 날지 못하는 새입니다."
pick,고르다,"You can pick any book you like from the shelf.","선반에서 원하는 책을 아무거나 고르세요."
pin,"핀; 핀으로 고정하다","She used a pin to attach the note to the board.","그녀는 메모를 게시판에 고정하기 위해 핀을 사용했습니다."
pioneer,개척자,"He was a pioneer in the field of computer science.","그는 컴퓨터 과학 분야의 개척자였습니다."
pleasure,기쁨,"It was a pleasure to meet you.","만나서 반가웠습니다."
plenty,풍부함,"We have plenty of time before the train leaves.","기차가 떠나기 전까지 시간이 충분합니다."
plug,"플러그; 막다","You need to plug in the TV to turn it on.","TV를 켜려면 플러그를 꽂아야 합니다."
pointless,무의미한,"It's pointless to argue with him.","그와 논쟁하는 것은 무의미합니다."
policy,정책,"What is the company's policy on sick leave?","병가에 대한 회사 정책은 무엇인가요?"
pond,연못,"Ducks were swimming in the small pond.","오리들이 작은 연못에서 헤엄치고 있었습니다."
pony,조랑말,"The little girl was riding a pony at the fair.","어린 소녀가 축제에서 조랑말을 타고 있었습니다."
poorly,형편없이,"He performed poorly on the exam.","그는 시험을 형편없이 봤습니다."
possibility,가능성,"There is a strong possibility of rain tomorrow.","내일은 비가 올 가능성이 높습니다."
post,"우편; 직위","I need to go to the post office to mail this letter.","이 편지를 부치러 우체국에 가야 해요."
praise,칭찬하다,"The teacher praised the student for her hard work.","선생님은 학생의 노력을 칭찬했습니다."
presentation,"발표; 제시","She gave an excellent presentation.","그녀는 훌륭한 발표를 했습니다."
pressure,"압력; 스트레스","He is under a lot of pressure at work.","그는 직장에서 많은 스트레스를 받고 있습니다."
prevent,막다,"Wearing a helmet can help prevent head injuries.","헬멧을 쓰는 것은 머리 부상을 예방하는 데 도움이 될 수 있습니다."
previously,이전에,"She had previously worked as a nurse.","그녀는 이전에 간호사로 일했습니다."
primary,"주요한; 초등의","Our primary goal is to improve customer satisfaction.","우리의 주요 목표는 고객 만족도를 향상시키는 것입니다."
princess,공주,"The story is about a beautiful princess.","그 이야기는 아름다운 공주에 관한 것입니다."
professor,교수,"He is a professor of history at the university.","그는 그 대학의 역사학 교수입니다."
proof,증거,"The police are looking for proof of his innocence.","경찰은 그의 무죄를 증명할 증거를 찾고 있습니다."
prospect,"전망; 가능성","The prospect of a long vacation is exciting.","긴 휴가를 보낼 전망은 신나는 일입니다."
protection,보호,"This cream provides good protection from the sun.","이 크림은 태양으로부터 좋은 보호를 제공합니다."
protein,단백질,"Meat and eggs are good sources of protein.","고기와 계란은 좋은 단백질 공급원입니다."
protest,항의하다,"The citizens protested against the new law.","시민들은 새 법에 항의했습니다."
publicly,공개적으로,"The company publicly apologized for its mistake.","회사는 실수에 대해 공개적으로 사과했습니다."
publish,출판하다,"She wants to publish her first novel.","그녀는 첫 소설을 출판하고 싶어 합니다."
punish,벌하다,"The teacher had to punish the student for misbehaving.","선생님은 학생의 잘못된 행동에 대해 벌을 주어야 했습니다."
pursue,추구하다,"She moved to the city to pursue her dream of becoming an actress.","그녀는 배우가 되겠다는 꿈을 추구하기 위해 도시로 이사했습니다."
quote,인용하다,"Can I quote you on that?","그 말 인용해도 될까요?"
rail,"철도; 난간","The train travels on a rail.","기차는 철로 위를 달립니다."
reach,도달하다,"We finally reached the top of the mountain.","우리는 마침내 산 정상에 도달했습니다."
readiness,준비,"The soldiers were in a state of readiness for battle.","군인들은 전투 준비 상태에 있었습니다."
recent,최근의,"Have you seen the most recent episode of the show?","그 쇼의 가장 최근 에피소드를 봤나요?"
recreate,재창조하다; 즐기다,"They tried to recreate the famous painting.","그들은 그 유명한 그림을 재현하려고 노력했습니다."
redevelopment,재개발,"The city has a new plan for the redevelopment of the downtown area.","그 도시는 도심 지역의 재개발을 위한 새로운 계획을 가지고 있습니다."
reform,개혁하다,"The government promised to reform the education system.","정부는 교육 시스템을 개혁하겠다고 약속했습니다."
relaxed,느긋한,"She felt relaxed after her vacation.","그녀는 휴가 후에 느긋함을 느꼈습니다."
relaxing,편안하게 하는,"Listening to music is a relaxing activity.","음악을 듣는 것은 편안한 활동입니다."
remark,발언; 말하다","He made a witty remark that made everyone laugh.","그는 모두를 웃게 만든 재치 있는 발언을 했습니다."
renew,갱신하다,"I need to renew my library card.","도서관 카드를 갱신해야 합니다."
repay,갚다,"I promise to repay the loan as soon as possible.","가능한 한 빨리 대출금을 갚겠다고 약속합니다."
require,요구하다,"This job requires excellent communication skills.","이 직업은 뛰어난 의사소통 기술을 요구합니다."
response,"응답; 반응","We received a quick response to our request.","우리는 우리의 요청에 대한 빠른 응답을 받았습니다."
rethink,재고하다,"You should rethink your decision before it's too late.","너무 늦기 전에 결정을 재고해야 합니다."
retirement,은퇴,"He is looking forward to his retirement next year.","그는 내년 은퇴를 고대하고 있습니다."
reunion,재회,"We are having a family reunion this weekend.","우리는 이번 주말에 가족 모임을 가질 예정입니다."
review,검토하다; 평론","Please review the document carefully before signing it.","서명하기 전에 문서를 주의 깊게 검토해 주세요."
ribbon,리본,"She tied a red ribbon in her hair.","그녀는 머리에 빨간 리본을 맸습니다."
richness,"풍부함; 부유함","The richness of the soil is good for growing crops.","토양의 풍부함은 농작물을 재배하기에 좋습니다."
ripe,익은,"The apples are ripe and ready to be picked.","사과가 익어서 딸 준비가 되었습니다."
rocky,"바위투성이의; 불안정한","The path to the beach was rocky and uneven.","해변으로 가는 길은 바위투성이이고 울퉁불퉁했습니다."
ruling,"판결; 지배","The court's ruling was in favor of the defendant.","법원의 판결은 피고에게 유리했습니다."
safely,안전하게,"The plane landed safely despite the bad weather.","악천후에도 불구하고 비행기는 안전하게 착륙했습니다."
sake,목적,"He did it for the sake of his family.","그는 가족을 위해 그것을 했습니다."
salary,급여,"She receives a good salary at her new job.","그녀는 새 직장에서 좋은 급여를 받습니다."
salesman,판매원,"A salesman came to our door trying to sell a vacuum cleaner.","판매원이 진공청소기를 팔려고 우리 집 문을 찾아왔습니다."
sand,모래,"We walked barefoot on the warm sand.","우리는 따뜻한 모래 위를 맨발로 걸었습니다."
sandy,모래의,"The beach has long stretches of sandy shores.","그 해변은 긴 모래 해안을 가지고 있습니다."
satisfy,만족시키다,"The delicious meal satisfied my hunger.","맛있는 식사는 나의 배고픔을 만족시켰습니다."
say,말하다,"What did you say?","무슨 말을 했나요?"
says,말하다,"The sign says 'Stop'.","표지판에 '정지'라고 쓰여 있습니다."
scar,흉터,"The cut left a small scar on his arm.","그 베인 상처는 그의 팔에 작은 흉터를 남겼습니다."
scene,"장면","The final scene of the movie was very emotional.","영화의 마지막 장면은 매우 감동적이었습니다."
scientist,과학자,"She is a brilliant scientist who has made many discoveries.","그녀는 많은 발견을 한 뛰어난 과학자입니다."
scrap,"조각; 폐기물","He wrote the phone number on a scrap of paper.","그는 종이 조각에 전화번호를 적었습니다."
scream,비명 지르다,"She let out a loud scream when she saw the spider.","그녀는 거미를 보고 큰 비명을 질렀습니다."
secondly,두 번째로,"Firstly, we need to gather the data. Secondly, we need to analyze it.","첫째, 우리는 데이터를 수집해야 합니다. 둘째, 그것을 분석해야 합니다."
secret,비밀,"Can you keep a secret?","비밀을 지킬 수 있나요?"
seller,판매자,"He is the top seller in the company.","그는 회사에서 최고의 판매원입니다."
shameful,부끄러운,"His shameful behavior disappointed everyone.","그의 부끄러운 행동은 모두를 실망시켰습니다."
shark,상어,"We saw a shark fin in the water.","우리는 물속에서 상어 지느러미를 보았습니다."
shave,면도하다,"He needs to shave before going to work.","그는 출근하기 전에 면도해야 합니다."
shipping,배송,"The price includes free shipping.","가격에는 무료 배송이 포함됩니다."
shoot,쏘다; 촬영하다","The photographer will shoot the pictures for the magazine.","사진작가가 잡지에 실을 사진을 촬영할 것입니다."
shortage,부족,"There is a shortage of skilled workers in the industry.","그 산업에는 숙련된 노동자가 부족합니다."
shorten,줄이다,"Can you shorten the length of these pants?","이 바지의 길이를 줄여 주시겠어요?"
silk,비단,"The dress was made of fine silk.","그 드레스는 고급 비단으로 만들어졌습니다."
simply,"간단히; 단순히","Simply follow the instructions on the screen.","화면의 지시를 간단히 따르세요."
situation,상황,"The company is in a difficult financial situation.","회사는 어려운 재정 상황에 처해 있습니다."
sleepy,졸린,"I feel sleepy after lunch.","점심 식사 후에 졸려요."
slender,날씬한,"She has a slender and graceful figure.","그녀는 날씬하고 우아한 몸매를 가지고 있습니다."
slippery,"미끄러운","Be careful, the floor is wet and slippery.","조심하세요, 바닥이 젖어서 미끄러워요."
smart,"똑똑한; 멋진","She is a smart student who always gets good grades.","그녀는 항상 좋은 성적을 받는 똑똑한 학생입니다."
smile,미소 짓다,"She has a beautiful smile.","그녀는 아름다운 미소를 가지고 있습니다."
solar,태양의,"The house uses solar panels to generate electricity.","그 집은 전기를 생산하기 위해 태양 전지판을 사용합니다."
solution,해결책,"We need to find a quick solution to this problem.","우리는 이 문제에 대한 빠른 해결책을 찾아야 합니다."
sound,소리,"The sound of the waves was very relaxing.","파도 소리는 매우 편안했습니다."
spam,"스팸","My email inbox is full of spam messages.","내 이메일 받은 편지함은 스팸 메시지로 가득 차 있습니다."
spare,"여분의; 아끼다","Do you have a spare pen I can borrow?","빌릴 수 있는 여분의 펜이 있나요?"
specific,구체적인,"I gave him specific instructions on what to do.","나는 그에게 무엇을 해야 할지에 대한 구체적인 지시를 했습니다."
spicy,매운,"I like spicy food, but this is too hot for me.","나는 매운 음식을 좋아하지만, 이건 너무 맵다."
spider,거미,"A spider was spinning a web in the corner of the room.","거미가 방구석에서 거미줄을 치고 있었습니다."
spill,흘리다,"Be careful not to spill the milk.","우유를 쏟지 않도록 조심하세요."
spokesman,대변인,"A spokesman for the company will make a statement.","회사 대변인이 성명을 발표할 것입니다."
spot,"장소; 점","This is a popular spot for tourists.","이곳은 관광객들에게 인기 있는 장소입니다."
stable,"안정된; 마구간","The patient's condition is now stable.","환자의 상태는 이제 안정적입니다."
stall,"가판대; 지연시키다","I bought some fresh fruit from a stall at the market.","나는 시장의 가판대에서 신선한 과일을 샀다."
stem,줄기,"The beautiful flower has a long stem.","그 아름다운 꽃은 긴 줄기를 가지고 있습니다."
stepmother,계모,"Cinderella had a cruel stepmother.","신데렐라에게는 못된 계모가 있었습니다."
stock,"재고; 주식","We have a large stock of this item.","우리는 이 품목의 재고를 많이 보유하고 있습니다."
stone,돌,"The path was made of smooth, flat stones.","그 길은 매끄럽고 평평한 돌로 만들어졌습니다."
stranger,낯선 사람,"My mother always told me not to talk to strangers.","어머니는 항상 낯선 사람과 이야기하지 말라고 말씀하셨습니다."
strawberry,딸기,"I love to eat fresh strawberries in the summer.","저는 여름에 신선한 딸기를 먹는 것을 좋아합니다."
strict,엄격한,"The school has a strict policy against bullying.","그 학교는 따돌림에 대한 엄격한 정책을 가지고 있습니다."
stuck,"갇힌; 움직일 수 없는","The car was stuck in the mud.","차가 진흙에 빠졌습니다."
stupid,어리석은,"That was a stupid mistake to make.","그것은 어리석은 실수였습니다."
subtle,미묘한,"There is a subtle difference between the two colors.","두 색깔 사이에는 미묘한 차이가 있습니다."
successful,성공적인,"He is a very successful businessman.","그는 매우 성공적인 사업가입니다."
sudden,갑작스러운,"There was a sudden downpour of rain.","갑작스러운 폭우가 쏟아졌습니다."
suddenly,갑자기,"Suddenly, all the lights went out.","갑자기, 모든 불이 꺼졌습니다."
suffer,고통받다,"Many people suffer from allergies in the spring.","많은 사람들이 봄에 알레르기로 고통받습니다."
suggest,제안하다,"I suggest we take a break.","잠시 쉬는 것을 제안합니다."
summary,요약,"Please provide a brief summary of the report.","보고서의 간략한 요약을 제공해 주세요."
sunset,해질녘,"We watched the beautiful sunset over the ocean.","우리는 바다 위로 지는 아름다운 일몰을 보았습니다."
suppose,가정하다,"I suppose you are right.","당신이 옳다고 생각합니다."
surname,성","What is your first name and surname?","당신의 이름과 성은 무엇인가요?"
surprisingly,놀랍게도,"Surprisingly, he won the race.","놀랍게도, 그가 경주에서 이겼습니다."
surrounding,주변의,"The surrounding area is very beautiful.","주변 지역은 매우 아름답습니다."
survive,살아남다,"Only a few people survived the plane crash.","비행기 추락 사고에서 살아남은 사람은 몇 명뿐이었습니다."
swap,교환하다,"Can I swap seats with you?","자리 좀 바꿔도 될까요?"
sweep,쓸다,"She needs to sweep the floor.","그녀는 바닥을 쓸어야 합니다."
swept,쓸었다,"He swept the broken glass into a dustpan.","그는 깨진 유리를 쓰레받기에 쓸어 담았습니다."
system,시스템; 체계","The company has an efficient new computer system.","그 회사는 효율적인 새 컴퓨터 시스템을 갖추고 있습니다."
tablecloth,식탁보,"She put a clean tablecloth on the table.","그녀는 식탁에 깨끗한 식탁보를 깔았습니다."
tail,꼬리,"The dog wagged its tail happily.","개가 꼬리를 행복하게 흔들었습니다."
talkative,수다스러운,"She is a very talkative person.","그녀는 매우 수다스러운 사람입니다."
tap,"가볍게 두드리다; 수도꼭지","He tapped on the window to get my attention.","그는 내 주의를 끌기 위해 창문을 가볍게 두드렸다."
target,"목표; 과녁","Our target is to increase sales by 10%.","우리의 목표는 매출을 10% 증가시키는 것입니다."
task,"과제; 일","Finishing this report is my main task for today.","이 보고서를 끝내는 것이 오늘 저의 주요 과제입니다."
teamwork,팀워크,"Good teamwork is essential for the success of any project.","좋은 팀워크는 어떤 프로젝트의 성공에도 필수적입니다."
tear,"찢다; 눈물","Be careful not to tear the page.;A single tear rolled down her cheek.","페이지를 찢지 않도록 조심하세요.;그녀의 뺨을 타고 눈물 한 방울이 흘러내렸습니다."
tease,놀리다,"His older brother likes to tease him.","그의 형은 그를 놀리는 것을 좋아합니다."
technique,기술; 기법","She has an excellent technique for painting.","그녀는 훌륭한 그림 기법을 가지고 있습니다."
tent,텐트,"We put up a tent in the campsite.","우리는 야영장에 텐트를 쳤습니다."
term,"용어; 기간","'Photosynthesis' is a scientific term.","'광합성'은 과학 용어입니다."
textbook,교과서,"Please open your textbook to page 50.","교과서 50페이지를 펴세요."
texting,문자 보내기,"Texting while driving is very dangerous.","운전 중 문자 보내기는 매우 위험합니다."
thankful,감사하는,"I am thankful for my family and friends.","저는 가족과 친구들에게 감사합니다."
thereby,그로 인해,"He studied hard, thereby getting good grades.","그는 열심히 공부했고, 그로 인해 좋은 성적을 받았습니다."
thirst,갈증,"He drank a glass of water to quench his thirst.","그는 갈증을 해소하기 위해 물 한 잔을 마셨습니다."
though,"비록 ~일지라도; 그러나","Though he is young, he is very responsible.","그는 어리지만, 매우 책임감이 강합니다."
thought,생각,"I had a sudden thought about our plan.","나는 우리 계획에 대해 갑작스러운 생각이 들었다."
thoughtful,사려 깊은,"It was very thoughtful of you to bring me flowers.","꽃을 가져다주다니 정말 사려 깊으시네요."
threat,위협,"Climate change is a serious threat to our planet.","기후 변화는 우리 행성에 심각한 위협입니다."
threaten,위협하다,"The dark clouds threatened to bring a storm.","검은 구름은 폭풍을 몰고 올 것처럼 위협했습니다."
thrill,스릴; 흥분","Riding a rollercoaster is a great thrill.","롤러코스터를 타는 것은 큰 스릴입니다."
thriller,스릴러,"I enjoy reading mystery thrillers.","저는 미스터리 스릴러 읽는 것을 즐깁니다."
throughout,"~내내; 전역에","The music played throughout the night.","음악이 밤새도록 흘러나왔습니다."
tick,"체크 표시; 진드기","Please put a tick next to your name.","이름 옆에 체크 표시를 해주세요."
timing,타이밍,"His timing was perfect for the surprise party.","그의 타이밍은 깜짝 파티에 완벽했습니다."
title,"제목; 직함","What is the title of the book you are reading?","읽고 있는 책의 제목이 무엇인가요?"
top,"꼭대기; 최고","We climbed to the top of the mountain.","우리는 산꼭대기까지 올라갔습니다."
topic,주제,"The topic of today's discussion is environmental protection.","오늘 토론의 주제는 환경 보호입니다."
tradition,전통,"It is a family tradition to have a big dinner on holidays.","명절에 큰 저녁 식사를 하는 것은 우리 가족의 전통입니다."
tragedy,비극,"The story ended in tragedy.","그 이야기는 비극으로 끝났습니다."
trap,"덫; 함정","The mouse was caught in a trap.","쥐가 덫에 걸렸습니다."
traveler,여행자,"He is an experienced traveler who has been to many countries.","그는 많은 나라를 다녀온 경험 많은 여행자입니다."
treat,대하다; 간식","You should treat everyone with respect.","모두를 존중으로 대해야 합니다."
treatment,"치료; 처리","She is receiving treatment for her injury.","그녀는 부상으로 치료를 받고 있습니다."
tricky,"까다로운; 교활한","This is a tricky question.","이것은 까다로운 질문입니다."
turtles,거북이들,"Turtles can live for a very long time.","거북이는 매우 오래 살 수 있습니다."
twist,비틀다; 꼬다","Twist the cap to open the bottle.","병을 열려면 뚜껑을 비트세요."
unbelievable,믿기 어려운,"His story was completely unbelievable.","그의 이야기는 완전히 믿기 어려웠습니다."
uncommon,드문; 흔치 않은,"It is uncommon to see snow in this region.","이 지역에서 눈을 보는 것은 드뭅니다."
uncover,드러내다; 밝히다","The investigation uncovered new evidence.","수사를 통해 새로운 증거가 드러났습니다."
undergo,겪다; 경험하다","She will have to undergo surgery.","그녀는 수술을 받아야 할 것입니다."
undertake,착수하다; 맡다","He is about to undertake a difficult task.","그는 어려운 과제에 착수하려고 합니다."
underwater,수중의,"We went snorkeling to see the underwater world.","우리는 수중 세계를 보기 위해 스노클링을 갔습니다."
uneven,고르지 않은,"The road was uneven and full of potholes.","도로는 울퉁불퉁하고 움푹 파인 곳이 많았습니다."
unfair,불공평한,"It is unfair to treat people differently.","사람들을 다르게 대하는 것은 불공평합니다."
unfold,펼치다; 전개되다","As the story unfolds, we learn more about the main character.","이야기가 전개되면서 우리는 주인공에 대해 더 많이 알게 됩니다."
unforeseen,예기치 못한,"We had to cancel our plans due to unforeseen circumstances.","예기치 못한 사정으로 우리는 계획을 취소해야 했습니다."
unforgettable,잊을 수 없는","Our trip to Paris was an unforgettable experience.","파리로의 우리 여행은 잊을 수 없는 경험이었습니다."
unimportant,중요하지 않은,"Let's not waste time on unimportant details.","중요하지 않은 세부 사항에 시간을 낭비하지 맙시다."
union,결합; 조합","The workers formed a union to protect their rights.","노동자들은 자신들의 권리를 보호하기 위해 조합을 결성했습니다."
unknown,알려지지 않은,"The artist's early works are largely unknown.","그 예술가의 초기 작품들은 대체로 알려져 있지 않습니다."
unless,~하지 않으면","You won't succeed unless you try hard.","열심히 노력하지 않으면 성공하지 못할 것입니다."
unlock,잠금을 해제하다,"You need a key to unlock the door.","문을 열려면 열쇠가 필요합니다."
unnecessary,불필요한,"It is unnecessary to bring a heavy coat.","두꺼운 코트를 가져올 필요는 없습니다."
unreal,비현실적인,"The beautiful scenery looked almost unreal.","아름다운 풍경은 거의 비현실적으로 보였습니다."
unsafe,위험한,"The old bridge is unsafe for heavy vehicles.","그 낡은 다리는 대형 차량에 위험합니다."
unsure,확신이 없는,"I am unsure about which path to take.","어떤 길을 택해야 할지 확신이 서지 않습니다."
unwise,현명하지 않은,"It would be unwise to make a decision without all the facts.","모든 사실을 알지 못한 채 결정을 내리는 것은 현명하지 못할 것입니다."
upper,위쪽의","The upper floors of the building have a great view.","건물의 위층에서는 전망이 아주 좋습니다."
used,중고의; 사용된,"I bought a used car that was in good condition.","나는 상태가 좋은 중고차를 샀다."
usual,평소의; 일반적인","He left work at his usual time.","그는 평소 시간에 퇴근했다."
venue,장소; 개최지","The concert will be held at a large outdoor venue.","콘서트는 대규모 야외 공연장에서 열릴 예정입니다."
verbal,말의; 구두의","We had a verbal agreement, but nothing in writing.","우리는 구두로 합의했지만, 서면으로 된 것은 아무것도 없습니다."
vest,조끼,"He wore a vest over his shirt.","그는 셔츠 위에 조끼를 입었다."
vital,필수적인; 중요한","Water is vital for all living things.","물은 모든 생명체에게 필수적입니다."
voice,목소리,"She has a beautiful singing voice.","그녀는 아름다운 노래 목소리를 가지고 있습니다."
voter,유권자,"Every eligible voter should participate in the election.","모든 유권자는 선거에 참여해야 합니다."
ward,병동; 구역","He is in the children's ward of the hospital.","그는 병원의 소아과 병동에 있습니다."
warmly,따뜻하게,"She greeted her guests warmly.","그녀는 손님들을 따뜻하게 맞이했습니다."
wave,"손을 흔들다; 파도","She waved goodbye as the train left.","기차가 떠날 때 그녀는 손을 흔들어 작별 인사를 했습니다."
wearing,"입고 있는","What are you wearing to the party tonight?","오늘 밤 파티에 무엇을 입고 갈 건가요?"
web,거미줄; 웹","A spider spins a web to catch insects.","거미는 곤충을 잡기 위해 거미줄을 칩니다."
weekly,매주의,"We have a weekly team meeting every Monday.","우리는 매주 월요일에 주간 팀 회의를 합니다."
wheelchair,휠체어,"He uses a wheelchair to get around.","그는 돌아다니기 위해 휠체어를 사용합니다."
whichever,어느 것이든","Choose whichever color you like best.","가장 마음에 드는 색깔을 어느 것이든 고르세요."
whoever,누구든지,"Whoever finishes first will win a prize.","누구든지 먼저 끝내는 사람이 상을 받을 것입니다."
