word,meaning,sentence,sentence_translation
crackdown,"단속; 탄압","The government announced a crackdown on tax evasion.","정부는 탈세에 대한 단속을 발표했다."
crafty,"교활한; 술책이 뛰어난","The crafty fox managed to steal the cheese.","교활한 여우는 치즈를 훔치는 데 성공했다."
crane,"기중기; 학; 두루미","A large crane was used to lift the construction materials.","건설 자재를 들어 올리는 데 큰 기중기가 사용되었다."
create,"창조하다; 만들다","The artist wanted to create a masterpiece.","그 예술가는 걸작을 만들고 싶어 했다."
creature,"창조물; 생명체","Many different creatures live in the deep sea.","깊은 바다에는 많은 다양한 생명체들이 산다."
credibility,"신뢰성; 신용","The scandal has damaged the politician's credibility.","그 스캔들은 그 정치인의 신뢰성에 흠집을 냈다."
crisis,"위기; 중대한 기로; 고비","The country is facing a severe economic crisis.","그 나라는 심각한 경제 위기에 직면해 있다."
critical,"중요한; 비판적인","Your support is critical to our success.","당신의 지원은 우리의 성공에 매우 중요합니다."
criticism,"비평; 비판; 혹평","He finds it hard to accept any form of criticism.","그는 어떤 형태의 비판도 받아들이기 힘들어한다."
"cross over","건너가다; 지나가다","We need to cross over the river to get to the village.","마을에 가려면 우리는 강을 건너야 한다."
crowded,"붐비는","The train was very crowded this morning.","오늘 아침 기차는 매우 붐볐다."
cruelty,"잔인함; 학대","We must fight against cruelty to animals.","우리는 동물 학대에 맞서 싸워야 한다."
cryptography,"암호학; 암호 작성(해독)법","Cryptography is essential for secure online communication.","암호학은 안전한 온라인 통신에 필수적이다."
cuisine,"요리; 요리법","This restaurant is famous for its authentic French cuisine.","이 레스토랑은 정통 프랑스 요리로 유명하다."
cultural,"문화의; 교양적인; 경작의","The festival is a celebration of cultural diversity.","그 축제는 문화적 다양성을 기념하는 행사이다."
curable,"치료할 수 있는; 고칠 수 있는","Most types of skin cancer are curable if detected early.","대부분의 피부암은 조기에 발견하면 치료할 수 있다."
curb,"제한하는 것;억제하다","The city is taking steps to curb air pollution.","그 도시는 대기 오염을 억제하기 위한 조치를 취하고 있다."
cure,"치료(법); 치료제; 치유;치료하다; 낫다","Scientists are working hard to find a cure for cancer.","과학자들은 암 치료법을 찾기 위해 열심히 노력하고 있다."
curiosity,"호기심; 진기한 것","The child's curiosity led him to open the mysterious box.","아이의 호기심이 그를 신비한 상자를 열게 만들었다."
"curly hair",곱슬머리,"She has naturally curly hair.","그녀는 타고난 곱슬머리이다."
current,"흐름; 경향;현재의","What is your current address?","현재 주소가 어떻게 되나요?"
curve,"곡선; 굴곡;구부러지다; 곡선을 그리다","The road has a sharp curve ahead.","도로 앞쪽에 급커브가 있다."
customer,"고객; 단골; 거래처","Our goal is to provide excellent customer service.","우리의 목표는 훌륭한 고객 서비스를 제공하는 것입니다."
damage,"손해; 손상;손해를 입히다; 다치다","The earthquake caused widespread damage.","그 지진은 광범위한 피해를 야기했다."
damned,"저주 받은;지독하게; 굉장히","I can't believe I missed the damned bus again!","이 지독한 버스를 또 놓쳤다니 믿을 수가 없어!"
dazed,"멍한; 아찔해진","He was walking around in a dazed condition after the accident.","그는 사고 후 멍한 상태로 걸어 다녔다."
"deal with","~을 다루다; 처리하다","She is very good at dealing with difficult customers.","그녀는 까다로운 고객을 매우 잘 다룬다."
dearth,"부족; 결핍","There is a dearth of affordable housing in the city.","그 도시에는 저렴한 주택이 부족하다."
decline,"감소;줄어들다; 거절하다","The company's profits have been in decline for several years.;She declined his offer of marriage.","회사의 이익은 몇 년 동안 감소해왔다.;그녀는 그의 청혼을 거절했다."
decorative,"장식용의","The mirror is more decorative than functional.","그 거울은 기능적이라기보다는 장식용에 가깝다."
dedicated,"헌신적인; 전용의","She is a dedicated professional who works very hard.","그녀는 매우 열심히 일하는 헌신적인 전문가이다."
defensive,"방어의; 방어적인; 수비의","He became defensive when asked about his past mistakes.","그는 과거의 실수에 대해 질문을 받자 방어적이 되었다."
define,"정의하다","Can you define the role of a project manager?","프로젝트 관리자의 역할을 정의할 수 있나요?"
delighted,"아주 기뻐하는; 즐거워하는","We were delighted to receive your invitation.","우리는 당신의 초대를 받게 되어 아주 기뻤습니다."
deliver,"배달하다; 넘겨주다; 출산하다","The mail is delivered around noon.","우편물은 정오쯤에 배달된다."
evolution,"진화; 발전","The theory of evolution explains how species change over time.","진화론은 종이 시간이 지남에 따라 어떻게 변하는지를 설명한다."
exalt,"승격시키다; 칭송하다","The community exalted him as a hero for his brave actions.","지역 사회는 그의 용감한 행동에 대해 그를 영웅으로 칭송했다."
exceptional,"특출한; 극히 예외적인","She is an exceptional student with outstanding grades.","그녀는 뛰어난 성적을 가진 특출한 학생이다."
excessive,"지나친; 과도한","Excessive drinking can be harmful to your health.","과도한 음주는 건강에 해로울 수 있다."
exclusively,"독점적으로; 오로지 (~만)","This offer is available exclusively to our members.","이 혜택은 저희 회원들에게만 독점적으로 제공됩니다."
exempt,"면제하다; 면제받다;면제되는","Students with high scores are exempt from the final exam.","높은 점수를 받은 학생들은 기말시험이 면제된다."
exercise,"운동; 연습;운동하다","Regular exercise is important for maintaining good health.","규칙적인 운동은 좋은 건강을 유지하는 데 중요하다."
exhale,"숨을 내쉬다","Take a deep breath in, and then exhale slowly.","숨을 깊이 들이마신 다음, 천천히 내쉬세요."
exhausted,"다 써버린; 기진맥진한","After a long day of hiking, I was completely exhausted.","긴 하이킹을 한 후에, 나는 완전히 기진맥진했다."
exit,"출구; 퇴장; 떠남;나가다; 퇴장하다","Please use the emergency exit in case of a fire.","화재 시에는 비상구를 이용해 주십시오."
expand,확장하다,"The company is planning to expand its operations overseas.","그 회사는 해외로 사업을 확장할 계획이다."
experience,"경험;경험하다; 경험하여 얻다","Traveling to new places is always a great experience.","새로운 장소를 여행하는 것은 항상 훌륭한 경험이다."
expire,"만료되다","My driver's license will expire next month.","제 운전면허증은 다음 달에 만료됩니다."
explanation,설명,"He gave a clear explanation of the new policy.","그는 새로운 정책에 대해 명확하게 설명했다."
explore,"탐험(탐구; 분석)하다","Let's explore the old part of the city this afternoon.","오늘 오후에 도시의 오래된 지역을 탐험해 봅시다."
exposure,"노출; 폭로","Prolonged exposure to the sun can damage your skin.","장시간 햇볕에 노출되는 것은 피부를 손상시킬 수 있다."
express,"급행;표현하다; 나타내다;글 따위에 표시된;급행으로","She found it difficult to express her feelings.;Please send this package by express mail.","그녀는 자신의 감정을 표현하기 어렵다고 느꼈다.;이 소포를 빠른 우편으로 보내주세요."
extend,"확장하다; 늘이다; 뻗다","We decided to extend our vacation by a few more days.","우리는 휴가를 며칠 더 연장하기로 결정했다."
extinction,"멸종; 폐지; (불)끄기","The extinction of dinosaurs happened millions of years ago.","공룡의 멸종은 수백만 년 전에 일어났다."
extract,"추출물; 발췌;추출하다; 인용하다; 빼내다","The dentist had to extract a wisdom tooth.;Scientists can extract DNA from a single hair.","치과 의사는 사랑니를 빼내야 했다.;과학자들은 머리카락 한 올에서 DNA를 추출할 수 있다."
extrovert,외향적인 사람,"As an extrovert, she loves socializing and meeting new people.","외향적인 사람으로서, 그녀는 사람들과 어울리고 새로운 사람들을 만나는 것을 좋아한다."
face,"얼굴; 표정;직면하다","We need to face the reality of the situation.","우리는 상황의 현실을 직시해야 한다."
facilitate,"용이하게 하다; 촉진하다","The new software will facilitate better communication among team members.","새로운 소프트웨어는 팀원들 간의 더 나은 의사소통을 촉진할 것이다."
fairly,"상당히; 공정하게","The test was fairly difficult, but I think I did well.","시험은 상당히 어려웠지만, 잘 본 것 같아요."
familiarize,"익숙하게 하다","You should familiarize yourself with the new safety procedures.","새로운 안전 절차에 익숙해져야 합니다."
fascinating,"대단히 흥미로운; 매력적인","I read a fascinating book about ancient civilizations.","나는 고대 문명에 관한 아주 흥미로운 책을 읽었다."
fashionable,"멋진; 최신 유행의","She always wears the most fashionable clothes.","그녀는 항상 가장 유행하는 옷을 입는다."
faultless,"흠잡을 데 없는; 완벽한","Her performance in the play was faultless.","그 연극에서 그녀의 연기는 흠잡을 데가 없었다."
faulty,"잘못된; 흠이 있는","The accident was caused by a faulty brake system.","그 사고는 결함이 있는 브레이크 시스템 때문에 발생했다."
feature,"특징; 특집 기사;~을 특징으로 하다","This new phone has many exciting features.","이 새 휴대폰에는 많은 흥미로운 기능들이 있다."
feckless,"무기력한; 무책임한","He was criticized for his feckless handling of the situation.","그는 그 상황에 대한 무책임한 대처로 비난을 받았다."
field,"분야; 들판","She is an expert in the field of artificial intelligence.","그녀는 인공지능 분야의 전문가이다."
demonstration,"논증; 실연; 표명; 시위","Thousands of people attended the demonstration for climate action.","수천 명의 사람들이 기후 행동을 위한 시위에 참여했다."
"depend on","~에 의존하다; ~에 의해 결정되다","Our picnic plans will depend on the weather.","우리의 소풍 계획은 날씨에 따라 결정될 것이다."
depict,"그리다; 묘사하다","The novel depicts the struggles of a young artist.","그 소설은 젊은 예술가의 고군분투를 묘사한다."
depressing,우울한,"The rainy weather can be very depressing.","비 오는 날씨는 매우 우울할 수 있다."
depth,깊이,"The lake has an average depth of 20 meters.","그 호수의 평균 깊이는 20미터이다."
descend,"내려가다; 전해지다; 유래하다","The plane began to descend as it approached the airport.","비행기는 공항에 접근하면서 하강하기 시작했다."
descendant,"자손; 후손","He is a direct descendant of the town's founder.","그는 그 마을 설립자의 직계 후손이다."
describe,"묘사하다; 설명하다","Can you describe the person you saw?","당신이 본 사람을 묘사할 수 있나요?"
deserted,"인적이 끊긴; 사람이 살지 않는; 버림받은","We walked through the deserted streets late at night.","우리는 밤늦게 텅 빈 거리를 걸었다."
dessert,"후식; 디저트;디저트의","What would you like for dessert?","후식으로 무엇을 드시겠어요?"
destination,"목적지; 도착지; 운명","Our final destination is the beautiful city of Paris.","우리의 최종 목적지는 아름다운 도시 파리입니다."
destroy,"파괴하다; 망치다","The fire completely destroyed the building.","화재로 건물이 완전히 파괴되었다."
detail,"세부 사항; 세부(묘사);상술하다","Please pay attention to every detail of the plan.","계획의 모든 세부 사항에 주의를 기울여 주세요."
deterioration,"악화; 하락; 저하","We have noticed a rapid deterioration in his health.","우리는 그의 건강이 급격히 악화되는 것을 알아차렸다."
determined,"단단히 결심한; 확정된","She is determined to succeed in her new business.","그녀는 새로운 사업에서 성공하기로 굳게 결심했다."
develop,"키우다; 개발하다","The city plans to develop the waterfront area.","그 도시는 해안 지역을 개발할 계획이다."
device,"장치; 고안","A smartphone is a very useful device for communication.","스마트폰은 의사소통에 매우 유용한 장치이다."
dialect,"방언; 사투리","People in different regions of the country often speak with a distinct dialect.","그 나라의 다른 지역 사람들은 종종 뚜렷한 사투리로 말한다."
dice,"주사위; 주사위 놀이;주사위꼴로 썰다","She diced the vegetables and added them to the soup.","그녀는 채소를 주사위 모양으로 썰어서 수프에 넣었다."
directly,"즉시; 직접적으로","Please report directly to the manager upon arrival.","도착하는 즉시 관리자에게 직접 보고해 주세요."
disability,"장애; 핸디캡","The new building has excellent access for people with disabilities.","새 건물은 장애인을 위한 접근성이 훌륭하다."
disadvantage,"불리한 점; 단점; 손해;불리하게 하다; 손해를 입히다","One disadvantage of living in the city is the high cost of living.","도시에 사는 것의 한 가지 단점은 높은 생활비이다."
disarray,"혼란;혼란시키다; 어지럽히다","The sudden storm left the campsite in disarray.","갑작스러운 폭풍으로 야영장은 혼란에 빠졌다."
discharge,"방출;배출하다; 퇴원시키다","He was discharged from the hospital yesterday.","그는 어제 병원에서 퇴원했다."
discomfort,"불편;불편하게 하다","The hard chair caused him some discomfort during the long meeting.","딱딱한 의자는 긴 회의 동안 그에게 약간의 불편함을 야기했다."
discount,"할인; 할인액;할인하다; 무시하다","They offer a 10% discount for students.","그들은 학생들에게 10% 할인을 제공한다."
discovery,발견,"The discovery of penicillin changed the history of medicine.","페니실린의 발견은 의학의 역사를 바꾸었다."
discrimination,차별,"We must fight against all forms of discrimination.","우리는 모든 형태의 차별에 맞서 싸워야 한다."
disease,"질병; 폐해;병에 걸리게 하다","Regular check-ups can help detect diseases early.","정기적인 검진은 질병을 조기에 발견하는 데 도움이 될 수 있다."
disgustedly,진저리치게,"He shook his head disgustedly at the mess.","그는 그 지저분함에 진저리가 난다는 듯 고개를 저었다."
disillusioned,환멸을 느낀,"She became disillusioned with politics after the scandal.","그녀는 그 스캔들 이후 정치에 환멸을 느꼈다."
disk,"원반; 표면","Please insert the disk into the computer.","디스크를 컴퓨터에 삽입해 주세요."
dismount,"(말·자전거·오토바이에서) 내리다","The rider dismounted from his horse gracefully.","그 기수는 우아하게 말에서 내렸다."
disorder,"무질서; 장애;어지럽히다; 혼란시키다","The room was in a state of complete disorder.","방은 완전히 무질서한 상태였다."
dispose,"배치하다; 처리하다","Please dispose of your trash in the proper bin.","쓰레기는 지정된 통에 버려주세요."
disputable,논란의 여지가 있는,"Whether the new policy will be effective is disputable.","새로운 정책이 효과가 있을지는 논란의 여지가 있다."
disruptive,"분열시키는; 파괴적인","His disruptive behavior in class was a problem for the teacher.","수업 중 그의 방해되는 행동은 선생님에게 문제였다."
dissolve,"녹다; 용해시키다; 해산하다","Salt dissolves in water.","소금은 물에 녹는다."
distinction,"구별; 차이; 특징; 우수성","There is a clear distinction between the two concepts.","두 개념 사이에는 명확한 구별이 있다."
distinguished,"저명한; 뛰어난","He is a distinguished professor of history.","그는 저명한 역사학 교수이다."
district,"지구; 지역; 선거구","The city is divided into several administrative districts.","그 도시는 여러 행정 구역으로 나뉘어 있다."
diversity,다양성,"The city is known for its cultural diversity.","그 도시는 문화적 다양성으로 유명하다."
divert,"방향을 바꾸게 하다; (생각·관심을) 다른 데로 돌리다","The police diverted traffic away from the accident scene.","경찰은 사고 현장에서 교통을 우회시켰다."
doorstep,"현관; 문앞;호별 방문하다","The package was left on my doorstep.","소포가 현관문 앞에 놓여 있었다."
dot,"점;점을 찍다; 여기저기 흩어져 있다","Please sign on the dotted line.","점선 위에 서명해 주세요."
doubtful,"의심스러운; 확신이 없는","I am doubtful about our chances of winning.","나는 우리가 이길 가능성에 대해 회의적이다."
downstream,"하류 부분; 하류의;하류에; 강 아래로","The town is located about five miles downstream from here.","그 마을은 여기서 하류로 약 5마일 떨어진 곳에 위치해 있다."
"drag oneself","발을 질질 끌며 걷다; 억지로 가다","After the long hike, he could barely drag himself home.","긴 하이킹 후에, 그는 간신히 몸을 이끌고 집으로 갔다."
dramatic,"극적인; 연극의","There was a dramatic increase in sales last month.","지난달 매출이 극적으로 증가했다."
drawing,그림,"She won first prize for her beautiful drawing.","그녀는 아름다운 그림으로 1등 상을 받았다."
drizzle,"보슬비; 이슬비;비가 보슬보슬 내리다","It started to drizzle just as we were leaving.","우리가 막 떠나려 할 때 보슬비가 내리기 시작했다."
drop,"(액체의) 방울;떨어지다","A single drop of rain fell on her nose.","빗방울 하나가 그녀의 코에 떨어졌다."
droplet,"작은 물방울","Tiny droplets of water covered the leaves.","아주 작은 물방울들이 나뭇잎을 덮고 있었다."
drought,가뭄,"The long drought has caused serious problems for farmers.","오랜 가뭄은 농부들에게 심각한 문제를 야기했다."
drug,"약; 마약; 의약품;약을 타다; 약을 먹이다","The doctor prescribed a new drug for his condition.","의사는 그의 상태에 맞는 새로운 약을 처방했다."
easygoing,"느긋한; 태평스러운","He has an easygoing personality and rarely gets stressed.","그는 느긋한 성격을 가지고 있어서 좀처럼 스트레스를 받지 않는다."
eclipse,"(일식/월식의) 식","We watched the total solar eclipse with special glasses.","우리는 특수 안경을 쓰고 개기 일식을 관찰했다."
economic,"경제의; 경제적인","The country is facing several economic challenges.","그 나라는 여러 경제적 어려움에 직면해 있다."
economist,경제학자,"An economist predicts that the market will improve next year.","한 경제학자는 내년에 시장이 개선될 것이라고 예측한다."
elect,"선출하다; 선택하다;선발된; 선출된","The people will elect a new president next month.","국민들은 다음 달에 새로운 대통령을 선출할 것이다."
electrician,전기 기사,"We called an electrician to fix the broken light.","우리는 고장 난 전등을 고치기 위해 전기 기사를 불렀다."
electron,전자,"An atom consists of a nucleus and one or more electrons.","원자는 원자핵과 하나 이상의 전자로 구성된다."
elementary,"초보적인; 기본적인; 초등학교의","He is taking an elementary course in Spanish.","그는 스페인어 초급 과정을 수강하고 있다."
eliminate,"제거하다; 없애다; 탈락시키다","The new policy aims to eliminate unnecessary paperwork.","새로운 정책은 불필요한 서류 작업을 없애는 것을 목표로 한다."
elliptical,"타원형의; 생략의","The planets move in elliptical orbits around the sun.","행성들은 태양 주위를 타원 궤도로 움직인다."
eloquent,"웅변을 잘 하는; 유창한","She gave an eloquent speech that moved the entire audience.","그녀는 청중 모두를 감동시킨 유창한 연설을 했다."
embarrass,"어리둥절하게 하다; 방해하다; 당황하다","His constant questions started to embarrass the speaker.","그의 끊임없는 질문은 연사를 당황하게 하기 시작했다."
embrace,"포옹; 받아들임;포옹하다; 기꺼이 받아들이다","They embraced each other warmly at the airport.;She decided to embrace the new opportunity.","그들은 공항에서 서로를 따뜻하게 포옹했다.;그녀는 새로운 기회를 기꺼이 받아들이기로 결정했다."
emotion,"감동; 감정","He spoke with great emotion about his childhood.","그는 자신의 어린 시절에 대해 큰 감정을 담아 이야기했다."
emphasize,강조하다,"The teacher emphasized the importance of studying regularly.","선생님은 규칙적으로 공부하는 것의 중요성을 강조했다."
employee,직원,"The company has over 500 employees.","그 회사는 500명 이상의 직원을 두고 있다."
empower,권한을 주다,"The program is designed to empower young women in business.","그 프로그램은 비즈니스계의 젊은 여성들에게 힘을 실어주기 위해 고안되었다."
empty,"비우다; 없어지다;비어 있는; 공허한","The bottle is empty.;Please empty the trash can.","병이 비어있다.;쓰레기통을 비워주세요."
enable,"~을 할 수 있게 하다","This new technology will enable us to work more efficiently.","이 새로운 기술은 우리가 더 효율적으로 일할 수 있게 해줄 것이다."
encounter,"만남; 접촉; 시합;맞닥뜨리다; 우연히 만나다","I had a brief encounter with an old friend at the supermarket.","나는 슈퍼마켓에서 옛 친구와 잠시 마주쳤다."
encouraging,"격려의; 고무적인","The teacher's encouraging words motivated the students.","선생님의 격려의 말은 학생들에게 동기를 부여했다."
endorse,"지지하다; 광고하다","Many celebrities endorse this brand of cosmetics.","많은 유명인들이 이 화장품 브랜드를 홍보한다."
"engage in","~에 종사하다; 관여하다; 참여하다","You should not engage in illegal activities.","불법적인 활동에 관여해서는 안 됩니다."
enhance,"높이다; 향상시키다","Using good lighting can enhance the quality of your photos.","좋은 조명을 사용하면 사진의 질을 높일 수 있다."
enlarge,"확대하다; 확장하다","We need to enlarge the photo to see the details.","세부 사항을 보려면 사진을 확대해야 한다."
enlighten,"이해시키다; 깨우치다","Could you enlighten me on this complex topic?","이 복잡한 주제에 대해 저를 이해시켜 주실 수 있나요?"
enrich,"부유하게 하다; 풍부하게 하다","Traveling can greatly enrich your life.","여행은 당신의 삶을 크게 풍요롭게 할 수 있다."
enrollment,"등록; 입학; 입대","Enrollment for the new course begins next week.","새로운 강좌의 등록은 다음 주에 시작됩니다."
ensure,"보장하다; 안전하게 하다","Please ensure that all the doors are locked before you leave.","떠나기 전에 모든 문이 잠겨 있는지 확인해 주세요."
entertainer,연예인,"He is a talented entertainer who can sing, dance, and act.","그는 노래, 춤, 연기를 할 수 있는 재능 있는 연예인이다."
enthusiastic,"열렬한; 열광적인","The crowd gave an enthusiastic welcome to the team.","관중들은 그 팀을 열광적으로 환영했다."
entire,"전체의; 온","He ate the entire pizza by himself.","그는 피자 한 판을 혼자 다 먹었다."
entry,"입장; 입국; 가입; 입구","The entry fee to the museum is ten dollars.","박물관 입장료는 10달러입니다."
eradicate,"뿌리째 뽑다; 근절하다","The goal is to eradicate poverty in the region.","목표는 그 지역의 빈곤을 근절하는 것이다."
error,"실수; 오류","There seems to be an error in the calculation.","계산에 오류가 있는 것 같습니다."
erstwhile,"이전의; 옛날의","He met with his erstwhile opponent to discuss a new partnership.","그는 새로운 파트너십을 논의하기 위해 옛 경쟁자를 만났다."
especially,"특히; 주로","I love all kinds of fruit, especially strawberries.","나는 모든 종류의 과일을 좋아하는데, 특히 딸기를 좋아한다."
ethical,"윤리적인; 도덕적인","Doctors must adhere to a strict ethical code.","의사들은 엄격한 윤리 강령을 준수해야 한다."
evaluate,"평가하다; 값을 산정하다","We need to evaluate the effectiveness of the new marketing campaign.","우리는 새로운 마케팅 캠페인의 효과를 평가해야 한다."
even,"평평한; 균등한; 짝수의;심지어 ~도; 훨씬 더","He can't even ride a bicycle.;This movie is even better than the first one.","그는 자전거조차 탈 수 없다.;이 영화는 첫 번째 것보다 훨씬 더 좋다."
eventually,"결국; 마침내","After many attempts, he eventually succeeded.","많은 시도 끝에, 그는 마침내 성공했다."
military,"군대;군사의; 무력의","He has a long and distinguished military career.","그는 길고 뛰어난 군 경력을 가지고 있다."
mimic,"흉내 내다","The comedian is famous for mimicking celebrities.","그 코미디언은 유명인들을 흉내 내는 것으로 유명하다."
mingle,"섞(이)다; 어울리다","She loves to mingle with different people at parties.","그녀는 파티에서 다양한 사람들과 어울리는 것을 좋아한다."
miniature,"축소 모형; 세밀화;소형의; 축소된","He collects miniature cars.","그는 소형 자동차 모형을 수집한다."
mishap,"작은 사고; 불상사","The party went well, apart from a small mishap with the cake.","케이크에 작은 사고가 있었던 것 외에는 파티가 순조롭게 진행되었다."
misunderstanding,"오해하다;진가를 못 알아보다","Their argument was based on a simple misunderstanding.","그들의 말다툼은 단순한 오해에서 비롯되었다."
modeling,"모형 제작; 모델링","She is pursuing a career in modeling.","그녀는 모델링 분야에서 경력을 쌓고 있다."
moderately,"중간 정도로; 적정하게","The movie was moderately successful at the box office.","그 영화는 흥행에서 중간 정도의 성공을 거두었다."
modulation,"조절; 조정","The modulation of his voice showed he was getting angry.","그의 목소리 조절은 그가 화가 나고 있음을 보여주었다."
molecule,분자,"A water molecule is made up of two hydrogen atoms and one oxygen atom.","물 분자는 두 개의 수소 원자와 한 개의 산소 원자로 이루어져 있다."
monetary,"통화의; 금전상의","The government announced new monetary policies to control inflation.","정부는 인플레이션을 통제하기 위한 새로운 통화 정책을 발표했다."
monopoly,"독점; 전유물","The company has a monopoly on the local telecommunications market.","그 회사는 지역 통신 시장을 독점하고 있다."
morale,"사기; 의욕","Winning the game boosted the team's morale.","경기에서 이긴 것은 팀의 사기를 높였다."
mortality,"죽음을 면할 수 없는 운명; 인간; 사망(률)","The infant mortality rate has decreased significantly.","유아 사망률이 크게 감소했다."
mosquito,모기,"A mosquito bite can be very itchy.","모기에 물리면 매우 가려울 수 있다."
motion,"운동; 움직임; 동작;신호하다","He made a motion with his hand for me to come closer.","그는 나에게 더 가까이 오라고 손짓했다."
motivate,"동기를 부여하다; 자극하다","His passion for music motivated him to practice every day.","음악에 대한 그의 열정은 그가 매일 연습하도록 동기를 부여했다."
movement,"운동; 동작; 행동","The dance is characterized by its slow, graceful movements.","그 춤은 느리고 우아한 동작이 특징이다."
mud,"진흙;진흙투성이로 만들다","The children were playing happily in the mud.","아이들은 진흙 속에서 즐겁게 놀고 있었다."
municipal,"지방 자치의; 시의","The city is responsible for municipal services like garbage collection.","그 도시는 쓰레기 수거와 같은 시 행정 서비스를 책임지고 있다."
municipality,"지방 자치 단체(시; 읍 등)","The municipality has a new plan for urban development.","그 지방 자치 단체는 도시 개발을 위한 새로운 계획을 가지고 있다."
mustache,콧수염,"He decided to grow a mustache.","그는 콧수염을 기르기로 결심했다."
mutation,"돌연변이","A genetic mutation can cause certain diseases.","유전적 돌연변이는 특정 질병을 유발할 수 있다."
mutual,"상호의","The agreement was based on mutual trust and respect.","그 합의는 상호 신뢰와 존중을 바탕으로 했다."
mystery,"신비(한 것); 미스터리","The cause of the ancient ruins remains a mystery.","고대 유적의 원인은 여전히 미스터리로 남아 있다."
mythical,"신화 속에 나오는; 사실이 아닌","Unicorns and dragons are mythical creatures.","유니콘과 용은 신화 속의 동물이다."
nausea,"메스꺼움; 혐오; 구역질","The boat's movement caused her to feel nausea.","배의 움직임은 그녀에게 메스꺼움을 유발했다."
nearsighted,"근시의; 근시안적인","He needs to wear glasses because he is nearsighted.","그는 근시라서 안경을 껴야 한다."
negligible,"무시해도 좋은; 하찮은","The difference in price between the two products is negligible.","두 제품의 가격 차이는 무시해도 될 정도이다."
negotiate,"협상하다; 성사시키다","The two countries will meet to negotiate a peace treaty.","두 나라는 평화 조약을 협상하기 위해 만날 것이다."
neighbor,"이웃 사람;이웃하다; 인접하다;이웃의","My neighbor is always friendly and helpful.","내 이웃은 항상 친절하고 도움을 준다."
neighborhood,"근처; 이웃 사람들; 주인; 지역","This is a safe and quiet neighborhood to live in.","이곳은 살기에 안전하고 조용한 동네이다."
neurological,"신경의; 신경학의","The patient is suffering from a neurological disorder.","그 환자는 신경계 질환을 앓고 있다."
nonetheless,"그럼에도 불구하고; 그렇더라도","The task was difficult, but she completed it nonetheless.","그 일은 어려웠지만, 그럼에도 불구하고 그녀는 그것을 완수했다."
normal,"표준; 평균; 정상;표준의; 보통의","His temperature is back to normal.","그의 체온은 정상으로 돌아왔다."
notorious,"악명 높은","The criminal was notorious for his daring robberies.","그 범죄자는 대담한 강도 행위로 악명이 높았다."
nuisance,"성가심; 골칫거리; 방해","The loud construction noise has been a real nuisance.","시끄러운 공사 소음은 정말 골칫거리였다."
numerous,"수많은; 다수의","Numerous studies have shown the benefits of exercise.","수많은 연구들이 운동의 이점을 보여주었다."
obesity,비만,"Obesity is a major health problem in many countries.","비만은 많은 나라에서 주요한 건강 문제이다."
obligation,"의무; 책임; 약정","Parents have a legal obligation to care for their children.","부모는 자녀를 돌볼 법적 의무가 있다."
observant,"준수자; 엄수자;관찰력 있는; 엄수하는","An observant witness provided a detailed description of the suspect.","관찰력 있는 목격자가 용의자의 상세한 인상착의를 제공했다."
observer,"관찰자; 관측자","From his perspective as an observer, the situation seemed calm.","관찰자로서 그의 관점에서 상황은 평온해 보였다."
obsession,"강박 관념; 망상","He has an obsession with collecting rare stamps.","그는 희귀한 우표를 수집하는 데 집착한다."
obvious,"명백한; 뻔한","It was obvious that she was not happy with the decision.","그녀가 그 결정에 만족하지 못하는 것은 명백했다."
occasionally,"때때로; 가끔","We occasionally go out for dinner on weekends.","우리는 주말에 가끔 외식을 한다."
occupy,"차지하다; 점령하다","The company will occupy the top two floors of the building.","그 회사는 건물의 위쪽 두 층을 차지할 것이다."
occur,"일어나다; 발생하다","A serious accident occurred on the highway this morning.","오늘 아침 고속도로에서 심각한 사고가 발생했다."
offspring,"자식; 새끼","The bird is busy feeding its offspring.","그 새는 새끼에게 먹이를 주느라 바쁘다."
"on and off","이따금; 오락가락","It rained on and off all day.","하루 종일 비가 오락가락했다."
once,"한 번; 한때;~하자마자","I have only visited that city once.","나는 그 도시에 한 번만 가봤다."
online,"온라인의;온라인으로","I do most of my shopping online.","나는 대부분의 쇼핑을 온라인으로 한다."
onset,시작,"The onset of winter brings colder weather.","겨울의 시작은 더 추운 날씨를 가져온다."
optimism,"낙관론; 낙관주의","Despite the challenges, she is filled with optimism for the future.","어려움에도 불구하고, 그녀는 미래에 대한 낙관으로 가득 차 있다."
option,"선택(권); 옵션","You have the option to pay in cash or by credit card.","현금 또는 신용카드로 결제할 수 있는 선택권이 있습니다."
orbital,"궤도의","The space station is in a stable orbital path around Earth.","우주 정거장은 지구 주위의 안정적인 궤도에 있다."
ordered,"정돈된; 질서정연한","Her desk was always neat and ordered.","그녀의 책상은 항상 깔끔하고 정돈되어 있었다."
orientation,"방향; 지향; 오리엔테이션","The company provides a two-day orientation for new employees.","그 회사는 신입 사원들을 위해 이틀간의 오리엔테이션을 제공한다."
"out of","~의 안에서 밖으로; ~의 범위 밖에","He took a book out of his bag.","그는 가방에서 책을 꺼냈다."
outbreak,"발생; 발발","There has been an outbreak of flu in the city.","도시에서 독감이 발생했다."
outcome,"결과; 성과","The outcome of the election will be announced tonight.","선거 결과는 오늘 밤 발표될 것이다."
