word,meaning,sentence,sentence_translation
electronic,전자의,"He enjoys playing electronic games in his free time.","그는 여가 시간에 전자 게임을 하는 것을 즐긴다."
elegantly,우아하게,"She was elegantly dressed for the formal event.","그녀는 공식 행사를 위해 우아하게 옷을 차려입었다."
embassy,대사관,"You need to go to the embassy to get a visa.","비자를 받으려면 대사관에 가야 합니다."
empathize,공감하다,"It's important to empathize with others' feelings.","다른 사람의 감정에 공감하는 것이 중요하다."
emphasize,강조하다,"The teacher emphasized the importance of regular practice.","선생님은 규칙적인 연습의 중요성을 강조했다."
endurance,"인내; 지구력","Running a marathon requires a lot of endurance.","마라톤을 뛰는 것은 많은 지구력을 필요로 한다."
energy,에너지,"I don't have enough energy to go for a run today.","오늘은 달리기를 할 에너지가 충분하지 않다."
engineering,공학,"He is studying civil engineering at the university.","그는 대학에서 토목 공학을 공부하고 있다."
envelope,봉투,"She put the letter in an envelope and sealed it.","그녀는 편지를 봉투에 넣고 봉했다."
essence,본질,"The essence of his argument is that we need to act now.","그의 주장의 본질은 우리가 지금 행동해야 한다는 것이다."
establish,설립하다,"The company was established in 1990.","그 회사는 1990년에 설립되었다."
established,"확립된; 인정받은","He is an established author with many successful books.","그는 많은 성공적인 책을 쓴 인정받는 작가이다."
establishment,"기관; 설립","The hotel is a well-known establishment in the city.","그 호텔은 도시에서 잘 알려진 기관입니다."
ethical,윤리적인,"Doctors must follow a strict ethical code.","의사들은 엄격한 윤리 강령을 따라야 합니다."
eventually,결국,"After a long search, they eventually found the missing dog.","오랜 수색 끝에 그들은 마침내 잃어버린 개를 찾았다."
evidently,분명히,"She was evidently upset by the news.","그녀는 그 소식에 분명히 화가 났다."
evolution,진화,"The theory of evolution is a cornerstone of modern biology.","진화론은 현대 생물학의 초석이다."
evolve,진화하다,"Languages continually evolve over time.","언어는 시간이 지남에 따라 계속해서 진화한다."
exemplify,예시하다,"His dedication to his work exemplifies professionalism.","그의 일에 대한 헌신은 전문성을 잘 보여준다."
exhaust,"지치게 하다; 소모하다","The long hike completely exhausted us.","긴 하이킹은 우리를 완전히 지치게 했다."
exhibition,전시회,"I went to see an art exhibition at the museum.","나는 박물관에서 열린 미술 전시회를 보러 갔다."
existence,존재,"The existence of life on other planets has not yet been proven.","다른 행성에 생명체가 존재한다는 것은 아직 증명되지 않았다."
exit,"출구; 나가다","Please use the nearest exit in case of an emergency.","비상시에는 가장 가까운 출구를 이용해 주세요."
expense,비용,"The company will cover all your travel expenses.","회사가 모든 출장 비용을 부담할 것입니다."
experiment,실험,"The students conducted an experiment in the science lab.","학생들은 과학 실험실에서 실험을 진행했다."
export,수출하다,"The country exports a lot of coffee to other parts of the world.","그 나라는 세계 다른 지역으로 많은 커피를 수출한다."
exposure,노출,"Too much exposure to the sun can be harmful to your skin.","햇볕에 너무 많이 노출되는 것은 피부에 해로울 수 있다."
express,"표현하다; 급행의","She found it difficult to express her feelings.;Please send this package by express mail.","그녀는 자신의 감정을 표현하기 어렵다고 느꼈다.;이 소포를 빠른 우편으로 보내주세요."
expressive,표현력이 풍부한,"She has a very expressive face.","그녀는 매우 표현력이 풍부한 얼굴을 가지고 있다."
extinction,멸종,"Many species are in danger of extinction.","많은 종들이 멸종 위기에 처해 있다."
eyelash,속눈썹,"She has long, dark eyelashes.","그녀는 길고 검은 속눈썹을 가지고 있다."
eyesight,시력,"My eyesight is not as good as it used to be.","내 시력은 예전만큼 좋지 않다."
facial,얼굴의,"She gets a facial treatment once a month.","그녀는 한 달에 한 번 얼굴 관리를 받는다."
fairness,공정성,"Fairness is an important principle in any competition.","공정성은 어떤 경쟁에서든 중요한 원칙이다."
familiar,익숙한,"His face looks familiar, but I can't remember his name.","그의 얼굴은 익숙하지만, 이름이 기억나지 않는다."
fascination,매혹,"She has a deep fascination with ancient history.","그녀는 고대사에 깊은 매혹을 느낀다."
fate,운명,"He believes that fate brought them together.","그는 운명이 그들을 만나게 했다고 믿는다."
fatty,지방이 많은,"You should avoid eating too much fatty food.","지방이 많은 음식을 너무 많이 먹는 것은 피해야 한다."
faulty,결함이 있는,"The accident was caused by a faulty traffic light.","그 사고는 결함이 있는 신호등 때문에 발생했다."
favorable,호의적인,"The movie received favorable reviews from critics.","그 영화는 비평가들로부터 호의적인 평가를 받았다."
feast,"잔치; 향연","The king prepared a grand feast for his guests.","왕은 손님들을 위해 성대한 연회를 준비했다."
feeble,아주 약한,"He gave a feeble excuse for being late.","그는 늦은 것에 대해 약한 변명을 했다."
filter,"필터; 거르다","You should filter the water before drinking it.","마시기 전에 물을 걸러야 합니다."
finance,"재정; 금융","She is studying finance at the university.","그녀는 대학에서 재무를 공부하고 있다."
fingernail,손톱,"She broke a fingernail while opening the can.","그녀는 깡통을 열다가 손톱이 부러졌다."
finite,유한한,"Our time on this earth is finite.","이 세상에서 우리의 시간은 유한하다."
fireplace,벽난로,"We sat by the fireplace to keep warm.","우리는 따뜻하게 있기 위해 벽난로 옆에 앉았다."
fitness,"건강; 체력","Regular exercise is important for overall fitness.","규칙적인 운동은 전반적인 건강에 중요하다."
flashback,"회상; 플래시백","The movie used a flashback to show the character's childhood.","그 영화는 등장인물의 어린 시절을 보여주기 위해 플래시백을 사용했다."
fleet,"함대; 선단","The fishing fleet set out to sea early in the morning.","어선단은 이른 아침에 바다로 나갔다."
flexible,"유연한; 융통성 있는","This material is very strong and flexible.","이 소재는 매우 튼튼하고 유연하다."
fluctuated,변동했다,"The price of the stock has fluctuated a lot this year.","올해 그 주식의 가격은 많이 변동했다."
fluency,유창성,"She speaks English with great fluency.","그녀는 매우 유창하게 영어를 구사한다."
fluid,"액체; 유동적인","The situation is still fluid and could change at any time.","상황은 여전히 유동적이며 언제든지 바뀔 수 있다."
forbid,금지하다,"The rules forbid students from using their phones in class.","규칙은 학생들이 수업 중에 휴대폰을 사용하는 것을 금지한다."
force,"힘; 강요하다","He used all his force to open the heavy door.","그는 무거운 문을 열기 위해 온 힘을 다했다."
formally,공식적으로,"The new CEO will be formally introduced at the meeting.","새로운 CEO는 회의에서 공식적으로 소개될 것입니다."
fragrance,향기,"The sweet fragrance of roses filled the garden.","장미의 달콤한 향기가 정원을 가득 채웠다."
friendliness,친절함,"The friendliness of the local people made our trip enjoyable.","현지 사람들의 친절함 덕분에 우리 여행은 즐거웠다."
frighten,놀라게 하다,"The loud thunder frightened the small child.","큰 천둥소리가 어린 아이를 놀라게 했다."
frozen,얼어붙은,"The lake was frozen solid in the winter.","겨울에 호수는 꽁꽁 얼어붙었다."
frustrated,좌절한,"He felt frustrated when he couldn't solve the problem.","그는 문제를 풀 수 없었을 때 좌절감을 느꼈다."
frustration,좌절,"She expressed her frustration with the lack of progress.","그녀는 진전이 없는 것에 대해 좌절감을 표현했다."
fulfilling,만족스러운,"Helping others can be a very fulfilling experience.","다른 사람을 돕는 것은 매우 만족스러운 경험이 될 수 있다."
fulfillment,"성취; 만족","He found a great sense of fulfillment in his work.","그는 자신의 일에서 큰 성취감을 느꼈다."
functional,기능적인,"The new software is not yet fully functional.","새로운 소프트웨어는 아직 완전히 기능적이지 않다."
functionality,기능성,"The new update will add more functionality to the app.","새로운 업데이트는 앱에 더 많은 기능성을 추가할 것이다."
fundamentally,근본적으로,"The two systems are fundamentally different.","두 시스템은 근본적으로 다르다."
furnished,가구가 갖춰진,"They rented a fully furnished apartment.","그들은 가구가 완비된 아파트를 빌렸다."
gear,"장비; 기어","Remember to bring your hiking gear for the trip.","여행을 위해 하이킹 장비를 챙기는 것을 잊지 마세요."
general,"일반적인; 장군","The general consensus is that the plan is a good one.;The general led his troops into battle.","일반적인 합의는 그 계획이 좋다는 것입니다.;장군은 부대를 이끌고 전투에 나섰다."
generalize,일반화하다,"It's not fair to generalize about an entire group of people.","전체 집단에 대해 일반화하는 것은 공평하지 않다."
generation,"세대; 생성","The younger generation is very comfortable with technology.","젊은 세대는 기술에 매우 익숙하다."
genetics,유전학,"Genetics helps us understand why we inherit certain traits.","유전학은 우리가 특정 형질을 물려받는 이유를 이해하는 데 도움을 준다."
glare,"눈부심; 노려봄","The glare of the sun made it difficult to see.;She gave him an angry glare.","태양의 눈부심 때문에 보기 어려웠다.;그녀는 그를 화난 눈으로 노려보았다."
glimpse,힐끗 보기,"I caught a glimpse of a deer in the forest.","나는 숲속에서 사슴을 힐끗 보았다."
goalkeeper,골키퍼,"The goalkeeper made a fantastic save.","골키퍼가 환상적인 선방을 해냈다."
governor,"주지사; 통치자","The governor of the state gave a speech.","그 주의 주지사가 연설을 했다."
grain,"곡물; 알갱이","A single grain of sand got into my eye.","모래 한 알이 내 눈에 들어갔다."
grant,"수여하다; 보조금","The foundation granted him a scholarship to study abroad.","그 재단은 그에게 해외 유학 장학금을 수여했다."
graphics,그래픽,"The video game has amazing graphics.","그 비디오 게임은 놀라운 그래픽을 가지고 있다."
grill,"석쇠; 굽다","Let's grill some burgers for dinner.","저녁으로 햄버거를 좀 굽자."
grin,활짝 웃다,"She had a wide grin on her face.","그녀는 얼굴에 활짝 웃음을 띠고 있었다."
gripping,흥미진진한,"It was a gripping movie from start to finish.","그것은 처음부터 끝까지 흥미진진한 영화였다."
guarantee,"보장; 보증하다","The company offers a money-back guarantee.","그 회사는 환불 보장을 제공한다."
guidance,안내; 지도,"I need some guidance on which career path to choose.","어떤 진로를 선택해야 할지 조언이 필요합니다."
hail,"우박; 환영하다","Heavy rain and hail started to fall.;The crowd hailed the winner of the race.","폭우와 우박이 내리기 시작했다.;군중은 경주 우승자를 환호했다."
handkerchief,손수건,"He wiped his brow with a clean handkerchief.","그는 깨끗한 손수건으로 이마를 닦았다."
harbor,"항구; 피난처","The ships were safe in the harbor during the storm.","배들은 폭풍 동안 항구에서 안전했다."
harmful,해로운,"Smoking is harmful to your health.","흡연은 건강에 해롭다."
harmony,조화,"The different instruments played in perfect harmony.","다양한 악기들이 완벽한 조화를 이루며 연주되었다."
harshly,"거칠게; 가혹하게","He was criticized harshly for his mistake.","그는 실수로 인해 가혹하게 비판받았다."
hectic,정신없는,"It was a hectic day at the office.","사무실에서 정신없는 하루였다."
hell,지옥,"According to some religions, bad people go to hell after they die.","일부 종교에 따르면, 나쁜 사람들은 죽은 후에 지옥에 간다."
helmet,헬멧,"You must wear a helmet when riding a motorcycle.","오토바이를 탈 때는 헬멧을 착용해야 합니다."
heroic,영웅적인,"The firefighter made a heroic rescue.","그 소방관은 영웅적인 구조 활동을 펼쳤다."
highlight,"강조하다; 하이라이트","The report highlights the need for more funding.","그 보고서는 더 많은 자금 지원의 필요성을 강조한다."
hint,"암시; 힌트","She gave me a hint about the surprise party.","그녀는 깜짝 파티에 대한 힌트를 주었다."
historically,역사적으로,"Historically, this region was known for its trade.","역사적으로 이 지역은 무역으로 유명했다."
hook,"갈고리; 걸다","Hang your coat on the hook by the door.","문 옆 갈고리에 코트를 거세요."
horizon,"수평선; 지평선","We watched the sun set below the horizon.","우리는 수평선 아래로 지는 해를 보았다."
horizontal,수평의,"Please draw a horizontal line across the page.","페이지를 가로지르는 수평선을 그려주세요."
hospitality,환대,"The local people showed us great hospitality.","현지 사람들은 우리에게 큰 환대를 보여주었습니다."
humility,겸손,"He accepted the award with humility and grace.","그는 겸손과 우아함으로 상을 받았습니다."
hunger,배고픔,"Many people in the world suffer from hunger.","전 세계의 많은 사람들이 굶주림으로 고통받고 있습니다."
hygiene,위생,"Good personal hygiene is important for preventing illness.","좋은 개인 위생은 질병 예방에 중요합니다."
icon,"아이콘; 상징","The Eiffel Tower is an iconic symbol of Paris.","에펠탑은 파리의 상징적인 아이콘입니다."
identity,정체성,"The police are trying to determine the identity of the victim.","경찰은 희생자의 신원을 확인하려고 노력하고 있습니다."
ignorance,무지,"His decision was based on ignorance of the facts.","그의 결정은 사실에 대한 무지에 근거했습니다."
imaginary,상상의,"She had an imaginary friend when she was a child.","그녀는 어렸을 때 상상의 친구가 있었습니다."
immoral,부도덕한,"Stealing is an immoral act.","도둑질은 부도덕한 행위입니다."
impatience,조급함,"He couldn't hide his impatience as he waited.","그는 기다리면서 조급함을 감출 수 없었다."
imperfect,불완전한,"No one is perfect; we all are imperfect in some way.","아무도 완벽하지 않다. 우리 모두는 어떤 면에서 불완전하다."
impersonal,비인격적인,"The large corporation felt cold and impersonal.","그 대기업은 차갑고 비인격적으로 느껴졌다."
importance,중요성,"Education is of great importance for the future.","교육은 미래를 위해 매우 중요하다."
impose,"부과하다; 강요하다","The government decided to impose a new tax.","정부는 새로운 세금을 부과하기로 결정했다."
impossibility,불가능,"Winning the lottery felt like an impossibility.","복권에 당첨되는 것은 불가능처럼 느껴졌다."
impressed,감명받은,"I was very impressed with her performance.","나는 그녀의 연기에 매우 감명받았다."
impressive,인상적인,"The view from the top of the mountain was impressive.","산 정상에서 본 경치는 인상적이었다."
imprison,감금하다,"He was imprisoned for ten years for his crime.","그는 범죄로 10년 동안 감옥에 갇혔다."
improvement,향상; 개선,"There has been a significant improvement in his health.","그의 건강에 상당한 개선이 있었다."
impulse,충동,"He bought the expensive watch on an impulse.","그는 충동적으로 그 비싼 시계를 샀다."
inadequate,불충분한,"The food supply was inadequate for the number of people.","식량 공급은 사람 수에 비해 불충분했다."
inconvenience,불편,"We apologize for any inconvenience caused.","불편을 끼쳐 드린 점 사과드립니다."
inconvenient,불편한,"The store's location is inconvenient for me.","그 가게의 위치는 나에게 불편하다."
increasingly,점점 더,"It is becoming increasingly difficult to find affordable housing.","저렴한 주택을 찾기가 점점 더 어려워지고 있다."
incurable,불치의,"Sadly, his disease was diagnosed as incurable.","슬프게도, 그의 병은 불치병으로 진단되었다."
indeed,"정말로; 확실히","It was, indeed, a very beautiful day.","정말로 아주 아름다운 날이었다."
independent,독립적인,"She is a strong and independent woman.","그녀는 강하고 독립적인 여성이다."
index,"색인; 지표","Look up the topic in the book's index.","책의 색인에서 그 주제를 찾아보세요."
indicator,"지표; 표시기","Economic growth is a key indicator of a country's success.","경제 성장은 한 국가의 성공을 나타내는 핵심 지표이다."
individuality,개성,"The school encourages students to express their individuality.","그 학교는 학생들이 자신의 개성을 표현하도록 장려한다."
industrial,산업의,"The city is a major industrial center.","그 도시는 주요 산업 중심지이다."
industrialized,산업화된,"Japan is a highly industrialized country.","일본은 고도로 산업화된 나라이다."
industry,산업,"The tourism industry is very important to the local economy.","관광 산업은 지역 경제에 매우 중요하다."
inequality,불평등,"The report highlighted the problem of social inequality.","그 보고서는 사회적 불평등 문제를 강조했다."
infant,유아,"The mother was holding her infant in her arms.","어머니는 아기를 팔에 안고 있었다."
infinite,무한한,"The universe seems to be infinite.","우주는 무한한 것처럼 보인다."
ingredient,재료,"What are the main ingredients of this dish?","이 요리의 주재료는 무엇인가요?"
inherit,물려받다,"She will inherit a large fortune from her grandmother.","그녀는 할머니로부터 많은 재산을 물려받을 것이다."
inhuman,비인간적인,"The prisoners were subjected to inhuman treatment.","죄수들은 비인간적인 대우를 받았다."
initial,"초기의; 처음의","My initial impression of him was very positive.","그에 대한 나의 첫인상은 매우 긍정적이었다."
injured,부상당한,"Several people were injured in the accident.","그 사고로 여러 명이 다쳤다."
injustice,불공정; 부당함,"He fought against injustice and inequality his whole life.","그는 평생 불의와 불평등에 맞서 싸웠다."
inner,"내부의; 내면의","She has a calm inner strength.","그녀는 차분한 내면의 힘을 가지고 있다."
innocence,순수; 무죄,"The jury was convinced of his innocence.","배심원단은 그의 무죄를 확신했다."
innovation,혁신,"The company is known for its technological innovation.","그 회사는 기술 혁신으로 유명하다."
insecure,"불안한; 자신 없는","He feels insecure about his appearance.","그는 자신의 외모에 대해 불안하게 느낀다."
insecurity,"불안감; 불안정","Her insecurity makes it hard for her to make new friends.","그녀의 불안감 때문에 새 친구를 사귀기가 어렵다."
inseparable,떼려야 뗄 수 없는,"They have been inseparable friends since childhood.","그들은 어린 시절부터 떼려야 뗄 수 없는 친구였다."
inspection,검사; 점검","The building needs a safety inspection.","그 건물은 안전 점검이 필요하다."
inspire,영감을 주다,"His story has inspired millions of people.","그의 이야기는 수백만 명의 사람들에게 영감을 주었다."
instant,즉각적인,"The new coffee machine makes a great cup of coffee in an instant.","새 커피 머신은 즉시 훌륭한 커피 한 잔을 만든다."
institute,"기관; 설립하다","She works at a research institute.","그녀는 연구 기관에서 일한다."
instruction,지시; 교육","Please follow the instructions carefully.","지침을 주의 깊게 따라주세요."
instructor,강사; 지도자","My driving instructor was very patient.","내 운전 강사는 매우 인내심이 많았다."
intact,"온전한; 손상되지 않은","The package arrived intact, with no damage.","소포는 손상 없이 온전하게 도착했다."
integrate,"통합하다","We need to integrate the new members into the team.","우리는 새로운 멤버들을 팀에 통합시켜야 한다."
integrity,"정직; 성실","He is a man of great integrity.","그는 매우 정직한 사람이다."
intend,의도하다,"What do you intend to do after you graduate?","졸업 후에 무엇을 할 계획인가요?"
interact,상호작용하다,"It's important for children to interact with their peers.","아이들이 또래와 상호작용하는 것은 중요하다."
interactive,상호작용하는,"The museum has many interactive exhibits for children.","그 박물관에는 아이들을 위한 많은 상호작용적인 전시물이 있습니다."
interestingly,흥미롭게도,"Interestingly, he never mentioned that he had a brother.","흥미롭게도, 그는 형이 있다는 말을 한 번도 하지 않았습니다."
internal,내부의,"The company is conducting an internal review of its policies.","회사는 정책에 대한 내부 검토를 진행하고 있습니다."
interpret,해석하다,"How would you interpret this poem?","이 시를 어떻게 해석하시겠습니까?"
interrupt,방해하다,"Sorry to interrupt, but I have an urgent message.","방해해서 죄송하지만, 긴급한 메시지가 있습니다."
interval,간격,"There will be a 15-minute interval between the two performances.","두 공연 사이에는 15분의 휴식 시간이 있을 것입니다."
intimate,"친밀한; 사적인","She has an intimate knowledge of the subject.","그녀는 그 주제에 대해 깊이 알고 있습니다."
intolerable,참을 수 없는,"The pain in his leg was intolerable.","그의 다리 통증은 참을 수 없었습니다."
intolerance,"편협; 참을 수 없음","We must fight against all forms of racial intolerance.","우리는 모든 형태의 인종적 편협에 맞서 싸워야 합니다."
invade,침입하다,"The country was invaded by its neighbor.","그 나라는 이웃 나라에 의해 침공당했습니다."
invaluable,매우 귀중한,"Your help has been invaluable to the project.","당신의 도움은 프로젝트에 매우 귀중했습니다."
investment,투자,"Real estate can be a good long-term investment.","부동산은 좋은 장기 투자가 될 수 있습니다."
involve,"포함하다; 관련되다","The new job will involve a lot of travel.","새로운 직업은 많은 출장을 포함할 것입니다."
involvement,"참여; 관련","Her involvement in the community is highly appreciated.","그녀의 지역 사회 참여는 높이 평가됩니다."
irrational,비이성적인,"His fear of spiders is completely irrational.","그의 거미에 대한 두려움은 완전히 비이성적입니다."
irritated,짜증난,"He was clearly irritated by the delay.","그는 지연으로 인해 분명히 짜증이 났습니다."
irritating,짜증나게 하는,"The constant noise from the construction site is very irritating.","공사장에서 나는 끊임없는 소음은 매우 짜증납니다."
issue,"문제; 발행하다","The government is trying to address the issue of unemployment.;The magazine will issue its next edition on Friday.","정부는 실업 문제를 해결하려고 노력하고 있습니다.;그 잡지는 금요일에 다음 호를 발행할 것입니다."
ivy,담쟁이덩굴,"The old stone wall was covered with ivy.","오래된 돌담은 담쟁이덩굴로 뒤덮여 있었습니다."
jealous,질투하는,"She was jealous of her sister's success.","그녀는 언니의 성공을 질투했습니다."
jealously,질투심으로,"He jealously guarded his new invention.","그는 자신의 새로운 발명품을 질투심으로 지켰습니다."
jet,제트기,"A military jet flew overhead.","군용 제트기가 머리 위로 날아갔습니다."
jewel,보석,"The queen's crown was adorned with precious jewels.","여왕의 왕관은 귀중한 보석들로 장식되어 있었습니다."
jointly,공동으로,"The report was published jointly by the two universities.","그 보고서는 두 대학이 공동으로 발표했습니다."
journalist,기자,"She works as a journalist for a major newspaper.","그녀는 주요 신문사에서 기자로 일합니다."
judgment,"판단; 판결","You should trust your own judgment.","자신의 판단을 믿어야 합니다."
justifiable,"정당한; 변명할 수 있는","His anger was justifiable under the circumstances.","상황을 고려할 때 그의 분노는 정당했습니다."
justification,"정당화; 변명","There is no justification for such behavior.","그런 행동에 대한 정당화는 없습니다."
justify,정당화하다,"How can you justify your actions?","당신의 행동을 어떻게 정당화할 수 있나요?"
kit,"키트; 도구 세트","I always keep a first-aid kit in my car.","저는 항상 차에 구급상자를 둡니다."
knob,손잡이; 둥근 장치,"Turn the knob to adjust the volume.","볼륨을 조절하려면 손잡이를 돌리세요."
launch,"시작하다; 발사하다","The company is ready to launch its new product.;They will launch a rocket into space tomorrow.","그 회사는 신제품을 출시할 준비가 되었습니다.;그들은 내일 우주로 로켓을 발사할 것입니다."
league,"리그; 연맹","Which team is at the top of the league?","어느 팀이 리그 1위를 차지하고 있나요?"
lengthen,길게 하다,"The days begin to lengthen in the spring.","봄이 되면 낮이 길어지기 시작합니다."
lengthy,긴,"They had a lengthy discussion about the new proposal.","그들은 새로운 제안에 대해 긴 논의를 했습니다."
lettuce,상추,"I like to add fresh lettuce to my sandwiches.","저는 샌드위치에 신선한 상추를 넣는 것을 좋아합니다."
liberation,해방,"The movement fought for the liberation of their people.","그 운동은 민족의 해방을 위해 싸웠습니다."
likewise,마찬가지로,"She is a talented artist; likewise, her brother is a gifted musician.","그녀는 재능 있는 예술가입니다. 마찬가지로, 그녀의 남동생도 재능 있는 음악가입니다."
limitation,제한,"We need to be aware of the limitations of this study.","우리는 이 연구의 한계를 인식해야 합니다."
literacy,"읽고 쓰는 능력","The program aims to improve literacy skills among adults.","그 프로그램은 성인들의 문해 능력을 향상시키는 것을 목표로 합니다."
live,"살다; 생중계의","I live in a small apartment in the city.","저는 도시의 작은 아파트에 삽니다."
logical,논리적인,"There must be a logical explanation for what happened.","일어난 일에 대한 논리적인 설명이 있을 것입니다."
lounge,"라운지; 휴게실","We relaxed in the hotel lounge before dinner.","우리는 저녁 식사 전에 호텔 라운지에서 휴식을 취했습니다."
maintain,유지하다,"It is important to maintain a positive attitude.","긍정적인 태도를 유지하는 것이 중요합니다."
manner,"방식; 태도","He has a very professional manner.","그는 매우 전문적인 태도를 가지고 있습니다."
mansion,대저택,"The wealthy family lives in a beautiful mansion.","그 부유한 가족은 아름다운 대저택에 삽니다."
margin,"여백; 차이","He won the election by a narrow margin.","그는 근소한 차이로 선거에서 이겼습니다."
mass,"대량; 질량","There was a mass protest against the new law.","새로운 법에 반대하는 대규모 시위가 있었습니다."
masterpiece,걸작,"The painting is considered a masterpiece of modern art.","그 그림은 현대 미술의 걸작으로 여겨집니다."
materialism,물질주의,"Many people are critical of the materialism in today's society.","많은 사람들이 오늘날 사회의 물질주의를 비판합니다."
maximum,최대,"The maximum capacity of the elevator is ten people.","엘리베이터의 최대 정원은 10명입니다."
measurement,측정,"We need to take precise measurements before cutting the wood.","나무를 자르기 전에 정밀한 측정을 해야 합니다."
mechanic,정비공,"My car broke down, so I had to call a mechanic.","차가 고장 나서 정비공을 불러야 했습니다."
medal,메달,"She won a gold medal at the Olympic Games.","그녀는 올림픽에서 금메달을 땄습니다."
memorial,"기념물; 추모의","A memorial service was held for the victims of the disaster.","재난 희생자들을 위한 추모식이 열렸습니다."
merciless,무자비한,"The merciless tyrant ruled the country for many years.","무자비한 폭군은 수년 동안 그 나라를 통치했습니다."
millimeter,밀리미터,"The insect was only a few millimeters in length.","그 곤충은 길이가 몇 밀리미터밖에 되지 않았습니다."
minimize,최소화하다,"We must try to minimize the risk of accidents.","우리는 사고의 위험을 최소화하기 위해 노력해야 합니다."
minimum,최소,"The minimum wage will be increased next year.","최저 임금은 내년에 인상될 것입니다."
mining,채굴,"Mining is a major industry in this region.","채굴은 이 지역의 주요 산업입니다."
miracle,기적,"It's a miracle that no one was hurt in the accident.","그 사고에서 아무도 다치지 않은 것은 기적입니다."
miserable,비참한,"She felt miserable after failing the exam.","그녀는 시험에 떨어지고 나서 비참한 기분이 들었습니다."
misfortune,불운,"He had the misfortune of losing his wallet.","그는 지갑을 잃어버리는 불운을 겪었습니다."
misplace,잘못 두다,"I think I may have misplaced my keys.","열쇠를 잘못 둔 것 같습니다."
missile,미사일,"The ship is equipped with long-range missiles.","그 배는 장거리 미사일을 갖추고 있습니다."
mist,안개,"A thick mist covered the valley in the morning.","아침에 짙은 안개가 계곡을 덮었습니다."
modest,"겸손한; 수수한","Despite his wealth, he lives a very modest lifestyle.","그는 부유함에도 불구하고 매우 수수한 생활 방식을 가지고 있습니다."
monitor,"모니터; 감시하다","The teacher will monitor the students during the exam.","선생님은 시험 중에 학생들을 감독할 것입니다."
moral,"도덕적인; 교훈","The story teaches a valuable moral lesson.","그 이야기는 귀중한 도덕적 교훈을 가르쳐 줍니다."
moreover,게다가,"The plan is risky. Moreover, it is very expensive.","그 계획은 위험합니다. 게다가, 매우 비쌉니다."
mosquito,모기,"I got bitten by a mosquito last night.","어젯밤에 모기에 물렸어요."
motion,"움직임; 제안","The gentle motion of the boat helped me fall asleep.","배의 부드러운 움직임이 잠드는 데 도움이 되었습니다."
motivation,동기,"His motivation for studying hard is to get into a good university.","그가 열심히 공부하는 동기는 좋은 대학에 가는 것입니다."
muddy,진흙투성이의,"Don't walk on the clean floor with your muddy shoes.","진흙 묻은 신발로 깨끗한 바닥을 걷지 마세요."
mundane,평범한; 지루한,"She wanted to escape her mundane life and go on an adventure.","그녀는 평범한 삶에서 벗어나 모험을 떠나고 싶었습니다."
mutual,상호의,"The agreement was based on mutual trust and respect.","그 합의는 상호 신뢰와 존중을 바탕으로 이루어졌습니다."
naive,"순진한; 경험 없는","It was naive of me to believe everything he said.","그가 한 모든 말을 믿다니 제가 순진했습니다."
napkin,"냅킨; 식탁용 수건","Please pass me a napkin.","냅킨 좀 건네주시겠어요?"
nationwide,전국적인,"The company launched a nationwide advertising campaign.","그 회사는 전국적인 광고 캠페인을 시작했습니다."
neatly,깔끔하게,"She neatly arranged the books on the shelf.","그녀는 선반 위의 책들을 깔끔하게 정리했습니다."
needle,바늘,"I need a needle and thread to sew this button.","이 단추를 꿰매려면 바늘과 실이 필요합니다."
needy,"궁핍한; 도움이 필요한","The charity provides food and shelter for needy families.","그 자선 단체는 궁핍한 가족들에게 음식과 쉼터를 제공합니다."
neglect,방치하다,"He neglected his duties and was fired from his job.","그는 자신의 임무를 소홀히 하여 직장에서 해고되었습니다."
negotiation,협상,"The negotiations between the two countries were successful.","두 나라 간의 협상은 성공적이었습니다."
nerve,"신경; 용기","It takes a lot of nerve to speak in front of a large audience.","많은 청중 앞에서 연설하려면 많은 용기가 필요합니다."
nervousness,"긴장감; 불안","She tried to hide her nervousness before the interview.","그녀는 면접 전에 긴장감을 감추려고 노력했습니다."
newsletter,소식지,"I subscribe to a weekly newsletter about technology.","저는 기술에 관한 주간 소식지를 구독합니다."
nightmare,악몽,"I had a terrible nightmare last night.","어젯밤에 끔찍한 악몽을 꿨어요."
nonsense,"말도 안 되는 말; 허튼소리","Stop talking nonsense and be serious.","허튼소리 그만하고 진지해지세요."
nostril,콧구멍,"The smell of smoke filled his nostrils.","연기 냄새가 그의 콧구멍을 가득 채웠습니다."
notable,주목할 만한,"There has been a notable improvement in his performance.","그의 실적에 주목할 만한 향상이 있었습니다."
notify,알리다,"Please notify us of any changes to your contact information.","연락처 정보에 변경 사항이 있으면 저희에게 알려주세요."
notion,"개념; 생각","He has a strange notion that everyone is against him.","그는 모든 사람이 자신을 반대한다는 이상한 생각을 가지고 있습니다."
novelist,소설가,"She is a famous novelist who has written many bestsellers.","그녀는 많은 베스트셀러를 쓴 유명한 소설가입니다."
obey,복종하다,"You must obey the rules of the school.","학교 규칙을 준수해야 합니다."
objectively,객관적으로,"Try to look at the situation objectively.","상황을 객관적으로 보려고 노력하세요."
observer,관찰자,"From the perspective of an outside observer, the situation seemed chaotic.","외부 관찰자의 관점에서 볼 때 상황은 혼란스러워 보였습니다."
obstacle,장애물,"The biggest obstacle to our success is a lack of funding.","우리의 성공에 가장 큰 장애물은 자금 부족입니다."
