word,meaning,sentence,sentence_translation
deepen,깊어지다; 심화되다,"The mystery seemed to deepen with every new clue.","새로운 단서가 나올 때마다 미스터리는 더욱 깊어지는 것 같았다."
statistically,통계적으로,"Statistically, women live longer than men.","통계적으로, 여성이 남성보다 더 오래 산다."
weird,이상한; 기묘한,"I had a really weird dream last night.","어젯밤에 정말 이상한 꿈을 꿨어요."
tethered,묶인; 매인,"The balloon was tethered to the ground with a string.","그 풍선은 끈으로 땅에 묶여 있었다."
peninsula,반도,"Florida is a large peninsula in the southeastern United States.","플로리다는 미국 남동부에 있는 큰 반도이다."
accomplishment,성취; 업적,"Finishing a marathon is a huge accomplishment.","마라톤을 완주하는 것은 큰 성취이다."
haphazardly,되는대로; 무작위로,"The files were stacked haphazardly on the shelf.","파일들은 선반 위에 되는대로 쌓여 있었다."
peruse,숙독하다; 정독하다,"He likes to peruse the newspaper every morning.","그는 매일 아침 신문을 정독하는 것을 좋아한다."
glanced,힐끗 보다,"She glanced at her phone to check the time.","그녀는 시간을 확인하기 위해 휴대폰을 힐끗 보았다."
mineral,광물; 미네랄,"This bottled water is rich in essential minerals.","이 생수에는 필수 미네랄이 풍부하다."
captivate,마음을 사로잡다; 매혹하다,"The singer captivated the audience with her powerful voice.","그 가수는 힘 있는 목소리로 관객을 사로잡았다."
hatch,부화하다; (계획 등을) 꾸미다","It takes about three weeks for the chicken eggs to hatch.","닭의 알이 부화하는 데는 약 3주가 걸린다."
passion,열정,"She has a true passion for helping animals.","그녀는 동물을 돕는 데 진정한 열정을 가지고 있다."
evident,분명한; 명백한,"From the look on his face, it was evident that he was disappointed.","그의 얼굴 표정으로 보아, 그가 실망했다는 것이 명백했다."
alongside,~옆에; 나란히,"He walked alongside her, listening to her story.","그는 그녀의 이야기를 들으며 그녀 옆에서 나란히 걸었다."
strangely,이상하게도,"Strangely, the cat didn't make any sound.","이상하게도, 그 고양이는 아무 소리도 내지 않았다."
vivid,생생한; 선명한,"She gave a vivid description of her trip to Italy.","그녀는 이탈리아 여행에 대해 생생하게 묘사했다."
convention,"관습; 관례; 대회","It's a social convention to say 'thank you'.;The annual teachers' convention will be held in Seoul.","'감사합니다'라고 말하는 것은 사회적 관습이다.;연례 교사 대회는 서울에서 열릴 것이다."
whisper,"속삭이다; 속삭임","He leaned in to whisper something in her ear.","그는 그녀의 귀에 무언가를 속삭이기 위해 몸을 숙였다."
priority,"우선순위; 우선 사항","Your health should be your top priority.","당신의 건강이 최우선 순위가 되어야 합니다."
definitely,분명히; 틀림없이,"I will definitely call you tomorrow.","내일 꼭 전화할게요."
ongoing,계속 진행 중인,"There is an ongoing investigation into the incident.","그 사건에 대해 계속 조사가 진행 중이다."
rusty,"녹슨; (실력이) 무뎌진","The old gate was rusty and difficult to open.;My French is a bit rusty because I haven't used it for years.","그 낡은 문은 녹슬어서 열기 어려웠다.;몇 년 동안 사용하지 않아서 내 프랑스어 실력이 좀 무뎌졌다."
Filthy,매우 더러운,"After playing in the mud, the children's clothes were filthy.","진흙 속에서 논 후에, 아이들의 옷은 매우 더러웠다."
Intersection,교차로,"The accident happened at a busy intersection downtown.","그 사고는 시내의 붐비는 교차로에서 일어났다."
doorway,출입구,"He stood in the doorway, blocking the exit.","그는 출입구에 서서 출구를 막고 있었다."
Unaware,"알지 못하는; 눈치 채지 못하는","She was unaware that someone was following her.","그녀는 누군가 자신을 따라오고 있다는 것을 알지 못했다."
Erect,"세우다; 직립한","They plan to erect a new statue in the city square.","그들은 시청 광장에 새로운 동상을 세울 계획이다."
diminish,"줄어들다; 약화시키다","The drug's effectiveness began to diminish over time.","그 약의 효과는 시간이 지남에 따라 줄어들기 시작했다."
Bleach,"표백하다; 표백제","She used bleach to whiten the laundry.","그녀는 세탁물을 하얗게 하기 위해 표백제를 사용했다."
Juggle,"저글링하다; (여러 일을) 잘 처리하다","It's hard to juggle a full-time job and family responsibilities.","정규직 일과 가정의 책임을 병행하는 것은 어렵다."
Rage,격노; 분노,"He was filled with rage when he heard the news.","그는 그 소식을 듣고 격노에 휩싸였다."
Changeable,변하기 쉬운,"The weather in the mountains is very changeable.","산의 날씨는 매우 변덕스럽다."
Versatile,"다재다능한; 다용도의","A smartphone is a versatile device that can be used for many things.","스마트폰은 여러 가지 일에 사용될 수 있는 다용도 기기이다."
Lessen,"줄다; 줄이다","The new medicine helped to lessen the pain.","새로운 약은 통증을 줄이는 데 도움이 되었다."
Counterpart,"상대방; 대응 관계에 있는 사람","The prime minister met with his French counterpart to discuss the treaty.","총리는 조약을 논의하기 위해 프랑스 총리를 만났다."
strategy,전략,"The company developed a new marketing strategy to attract more customers.","그 회사는 더 많은 고객을 유치하기 위해 새로운 마케팅 전략을 개발했다."
Unscrupulous,"부도덕한; 비양심적인","The unscrupulous businessman cheated his partners.","그 부도덕한 사업가는 자신의 파트너들을 속였다."
Principally,주로,"The organization is funded principally by private donations.","그 단체는 주로 개인 기부금으로 자금을 조달한다."
